,Normal_accuracy,Normal_f1_score,Normal_precision,Normal_recall,SMOTE_accuracy,SMOTE_f1_score,SMOTE_precision,SMOTE_recall,ADASYN_accuracy,ADASYN_f1_score,ADASYN_precision,ADASYN_recall,SG_accuracy,SG_f1_score,SG_precision,SG_recall,AG_accuracy,AG_f1_score,AG_precision,AG_recall,G_accuracy,G_f1_score,G_precision,G_recall,Smote_hell,Ada_hell,Gan_hell,SG_hell,AG_hell,Smote_time(ms),Ada_time,Gan_time,SG_time,AG_time
0,0.9648506151142355,0.9647811462410696,0.964813915351623,0.9648506151142355,0.961335676625659,0.9614074374469804,0.9615795390824392,0.961335676625659,0.9578207381370826,0.9579362863711967,0.9582759189505291,0.9578207381370826,0.9595782073813708,0.9595187511622914,0.9595163315702581,0.9595782073813708,0.9648506151142355,0.9647073736938347,0.9649763711729727,0.9648506151142355,0.961335676625659,0.9612192828292171,0.9613328563267837,0.961335676625659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.9595782073813708,0.9595187511622914,0.9595163315702581,0.9595782073813708,0.9701230228471002,0.9701372206351045,0.9701577884200605,0.9701230228471002,0.961335676625659,0.9614415958402636,0.9617725289352642,0.961335676625659,0.9666080843585237,0.9665919649990249,0.9665822125350753,0.9666080843585237,0.9525483304042179,0.9524301977810214,0.9524697609702044,0.9525483304042179,0.9666080843585237,0.966524953994052,0.9666022209679256,0.9666080843585237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.9630931458699473,0.9631106843139527,0.9631345400788187,0.9630931458699473,0.961335676625659,0.9613721341231701,0.9614337636283677,0.961335676625659,0.961335676625659,0.9614074374469804,0.9615795390824392,0.961335676625659,0.9595782073813708,0.9594351580349519,0.9596050805039618,0.9595782073813708,0.9630931458699473,0.9630388597568746,0.9630418513130565,0.9630931458699473,0.961335676625659,0.9612592608651764,0.9612846527210065,0.961335676625659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.9630931458699473,0.9630012649407943,0.9630691059684955,0.9630931458699473,0.9630931458699473,0.9630753297357644,0.9630638539403414,0.9630931458699473,0.9595782073813708,0.9596712346098224,0.9599204564781555,0.9595782073813708,0.961335676625659,0.9612192828292171,0.9613328563267837,0.961335676625659,0.9595782073813708,0.9595586944725037,0.9595454953456078,0.9595782073813708,0.961335676625659,0.9612980554579288,0.961285789582513,0.961335676625659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.961335676625659,0.9612592608651764,0.9612846527210065,0.961335676625659,0.968365553602812,0.9683953824644119,0.9684505931834623,0.968365553602812,0.9595782073813708,0.9597402838531747,0.960405183176887,0.9595782073813708,0.9595782073813708,0.9595187511622914,0.9595163315702581,0.9595782073813708,0.961335676625659,0.9612192828292171,0.9613328563267837,0.961335676625659,0.9578207381370826,0.9576488484326019,0.9578856932184723,0.9578207381370826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.9595782073813708,0.9594775758875367,0.9595359909690652,0.9595782073813708,0.961335676625659,0.9614074374469804,0.9615795390824392,0.961335676625659,0.9666080843585237,0.9666549390904983,0.9667586849945932,0.9666080843585237,0.9595782073813708,0.9594351580349519,0.9596050805039618,0.9595782073813708,0.961335676625659,0.9612592608651764,0.9612846527210065,0.961335676625659,0.9578207381370826,0.9577796968631951,0.9577639042066199,0.9578207381370826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.9578207381370826,0.9577373754892835,0.95775539009039,0.9578207381370826,0.961335676625659,0.9613721341231701,0.9614337636283677,0.961335676625659,0.961335676625659,0.9614415958402636,0.9617725289352642,0.961335676625659,0.9630931458699473,0.9630012649407943,0.9630691059684955,0.9630931458699473,0.9578207381370826,0.9577373754892835,0.95775539009039,0.9578207381370826,0.9578207381370826,0.9577373754892835,0.95775539009039,0.9578207381370826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.961335676625659,0.9612980554579288,0.961285789582513,0.961335676625659,0.9595782073813708,0.9595974161533767,0.9596229159081978,0.9595782073813708,0.961335676625659,0.9614074374469804,0.9615795390824392,0.961335676625659,0.9595782073813708,0.9594775758875367,0.9595359909690652,0.9595782073813708,0.961335676625659,0.9612592608651764,0.9612846527210065,0.961335676625659,0.968365553602812,0.9683347726473962,0.9683295603342991,0.968365553602812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.9560632688927944,0.955953886834279,0.9560028759696348,0.9560632688927944,0.9666080843585237,0.9665919649990249,0.9665822125350753,0.9666080843585237,0.961335676625659,0.9614415958402636,0.9617725289352642,0.961335676625659,0.9578207381370826,0.9577373754892835,0.95775539009039,0.9578207381370826,0.9595782073813708,0.9594775758875367,0.9595359909690652,0.9595782073813708,0.9648506151142355,0.9647448025720156,0.9648699341615329,0.9648506151142355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.9648506151142355,0.9647073736938347,0.9649763711729727,0.9648506151142355,0.9595782073813708,0.9595974161533767,0.9596229159081978,0.9595782073813708,0.961335676625659,0.9614074374469804,0.9615795390824392,0.961335676625659,0.9578207381370826,0.9576937630864187,0.9577957784920342,0.9578207381370826,0.9578207381370826,0.9576937630864187,0.9577957784920342,0.9578207381370826,0.961335676625659,0.9612192828292171,0.9613328563267837,0.961335676625659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
