,Dataset,model_name,Stats,Normal_auc,SMOTE_auc,ADASYNC_auc,SG_auc,AG_auc,G_auc
0,Drp,logistic_regression_classifier,mean,0.925625,0.9232187500000001,0.9176770833333333,0.9025,0.9044687499999999,0.9165416666666667
1,,,std,0.0,0.0024040728507164237,0.002804326405332241,0.009152532860286342,0.011670237228146071,0.007205484122304436
2,,random_forest_classifier,mean,0.9711979166666667,0.9711875,0.9718229166666668,0.9718333333333333,0.971875,0.9723020833333333
3,,,std,0.0017906368164240661,0.0020473911069523445,0.0027342851996748144,0.0030516536171149174,0.0023022547980561065,0.0021843933194025692
4,,simple_vector_classifier,mean,0.5,0.6569270833333333,0.6070729166666666,0.64309375,0.6276666666666667,0.6091979166666667
5,,,std,0.0,0.007641483090933521,0.0009932535537950404,0.010076602481226262,0.011757796539063914,0.006318953327617541
0,Pid,logistic_regression_classifier,mean,0.7235820895522387,0.7399840796019901,0.7329442786069651,0.5526293532338309,0.5621169154228856,0.5562487562189056
1,,,std,0.0,0.009358740380715568,0.007992708683398202,0.012073865707663733,0.009034797506233906,0.011628878472689707
2,,random_forest_classifier,mean,0.7217393034825871,0.7408776119402986,0.7371507462686567,0.7209512437810945,0.7231213930348258,0.7222169154228856
3,,,std,0.007532493613773054,0.0056844904168710155,0.008074527784331263,0.006748024144696267,0.007030137286321615,0.006421896969313887
4,,simple_vector_classifier,mean,0.6938059701492537,0.7142995024875621,0.7156701492537313,0.6772691542288558,0.67751592039801,0.6782134328358208
5,,,std,0.0,0.00586262400653687,0.0044399105000075875,0.0031981144808111276,0.0027270177249994337,0.002700882970784032
0,Bcwo,logistic_regression_classifier,mean,0.9615420860190736,0.9650398306256048,0.9695796738160756,0.9624706296254414,0.963028352620403,0.963495137396811
1,,,std,0.0,0.0026479025208640144,0.0016927913156636386,0.003909626544937945,0.00452269231733969,0.003970431489460278
2,,random_forest_classifier,mean,0.9601531971301847,0.9614572731727543,0.9642314385515223,0.9645147762825588,0.9629484086597058,0.9648260708407151
3,,,std,0.004315859575427854,0.003358810566952427,0.0036371369844790166,0.003580434669785372,0.003809828074537524,0.003866470613649299
4,,simple_vector_classifier,mean,0.961221681932979,0.9674819694171158,0.9732662055360801,0.9709475165542112,0.9695848568233506,0.9728248646135675
5,,,std,0.0,0.0024465628714666374,0.0010404256634495453,0.003966883247410835,0.004033157444323179,0.003099093890418542
0,Tsd,logistic_regression_classifier,mean,0.5033928571428572,0.6126011904761905,0.6036309523809523,0.5154761904761904,0.5160595238095238,0.5180238095238096
1,,,std,0.0,0.012529230718217953,0.01251664385711804,0.006597622173471962,0.008419075667355483,0.008776153902276542
2,,random_forest_classifier,mean,0.5048095238095238,0.5189642857142858,0.5212440476190475,0.5052559523809523,0.5032559523809523,0.5025714285714286
3,,,std,0.006033628588050538,0.008457577208923251,0.008722055424096925,0.005687994345455914,0.005327026045181556,0.005996091560693696
4,,simple_vector_classifier,mean,0.5,0.5066547619047619,0.5032916666666666,0.49852380952380954,0.4992380952380952,0.49957142857142856
5,,,std,0.0,0.0112310648113028,0.004178324940451496,0.0026202322294845847,0.004028873330638792,0.0034022749767755535
0,Drd,logistic_regression_classifier,mean,0.7466918227556525,0.7523906871956517,,0.7486039380897538,,0.7509232991857105
1,,,std,0.0,0.002973613016359364,,0.0044884741643913635,,0.004977561865376049
2,,random_forest_classifier,mean,0.6843666525226808,0.6864165706896203,,0.6835246307409428,,0.6834579014366249
3,,,std,0.006029474790061209,0.006625908742242885,,0.006519021989584375,,0.006686643300149082
4,,simple_vector_classifier,mean,0.7039658725828939,0.7047785961083833,,0.6994096401365905,,0.6989682972661696
5,,,std,0.0,0.001877774907224324,,0.002395742682823703,,0.0019462693976600005
0,Fhs,logistic_regression_classifier,mean,0.5134169379542245,0.6086819448408661,0.6079993982752229,0.5273262268826623,0.5293462022926139,0.527953039607501
1,,,std,0.0,0.007130238689485225,0.005123124084857223,0.006859680640644373,0.007443458341120787,0.006583878201055045
2,,random_forest_classifier,mean,0.5222278734432687,0.5548516906671483,0.5491421176273517,0.5225557246740544,0.521835990050506,0.5219671517710837
3,,,std,0.0031752263692288165,0.0038935109941604204,0.005004596348385064,0.003238821606374477,0.003835737244631499,0.0030004930729225286
4,,simple_vector_classifier,mean,0.5013116172057778,0.657341659830201,0.6546171183558671,0.5046097270604972,0.5046695714650454,0.5046097270604972
5,,,std,0.0,0.0030189827084839567,0.0018307491800641663,0.00016389065155749202,0.00027390356968523256,0.0001638906515574923
