,Dataset,model_name,Stats,Normal_f1_score,SMOTE_f1_score,ADASYN_f1_score,SG_f1_score,AG_f1_score,G_f1_score
5,,,std,0.0,0.014849913989202258,0.0058273393394659605,0.0,0.0,0.0
0,Ggcm,logistic_regression_classifier,mean,0.8743688941501168,0.8763067189658577,0.8744015971093398,0.8702407109238602,0.8714710032960495,0.8703657939441847
1,,,std,0.0,0.001058704697149207,0.0012998286950595878,0.003909919865242095,0.003652257097654148,0.004412137976355619
2,,random_forest_classifier,mean,0.8365143389906324,0.8377107090571486,0.8332217060474446,0.8384397951549933,0.8375646809877928,0.8373528954934295
3,,,std,0.004158068467235887,0.0037812310756397227,0.00485711203579498,0.003947470614384558,0.003791066924809316,0.0033131287409788445
4,,simple_vector_classifier,mean,0.7406674254728786,0.7444911897820015,0.7535202479076347,0.7452023014494717,0.7472372513350357,0.7417699285406264
5,,,std,0.0,0.002909460474633193,0.0011168514953681298,0.00566805430395283,0.006755895710941969,0.0025561650916307807
0,Bcwd,logistic_regression_classifier,mean,0.9435317979101356,0.9394980587810987,0.9360734292779338,0.9391944002769799,0.9384230375766754,0.9403140357673289
1,,,std,0.0,0.004837553745664242,0.004031049613632408,0.007215815182243823,0.006355076302798613,0.006551465131870689
2,,random_forest_classifier,mean,0.9625976273981952,0.9622428108496546,0.962781163237419,0.960239389443491,0.9603576147253363,0.9610534519801169
3,,,std,0.0022593229481640102,0.002963314946997951,0.0028467232877893403,0.003753764714468454,0.0026201912078113432,0.0028741446955482747
4,,simple_vector_classifier,mean,0.9101588969615712,0.9076914040503717,0.8960994901198555,0.9132032014588245,0.911346391914406,0.9136983272105949
5,,,std,0.0,0.0025038790907124706,0.0020020494679915146,0.0012604943249355436,0.0011643403338169292,0.0007033075146870778
0,Dtcr,logistic_regression_classifier,mean,0.8133131201711902,0.7997836939248697,0.7954968450355833,0.8229739610749066,0.8238608665899624,0.8248742259173286
1,,,std,0.0,0.005302957791293462,0.0037849201564390954,0.012989967633259382,0.01450819066440184,0.016979850388120298
2,,random_forest_classifier,mean,0.8883950495039026,0.8768774897237356,0.867880040653606,0.8882321716953597,0.8909307935474704,0.8867533306836192
3,,,std,0.012283824586425374,0.014232493462053382,0.014658687243195688,0.008500370067921904,0.006493318240222037,0.009771222941038837
4,,simple_vector_classifier,mean,0.7281399220404384,0.8202134052975618,0.8254592671151482,0.7939468375071799,0.7999861085366226,0.7924587602137788
5,,,std,0.0,0.006604388291162114,0.0028558792301297217,0.019961392410441314,0.013004998572068976,0.01884835752365479
0,Drp,logistic_regression_classifier,mean,0.9271172643303612,0.9207048796730216,0.9134516854916149,0.9001509311164582,0.9018820879193633,0.9157678832981994
1,,,std,0.0,0.0024800764738105987,0.0031150161363679048,0.009140378708249857,0.012237679159564401,0.007019240222626154
2,,random_forest_classifier,mean,0.9737531624189281,0.9736285329002855,0.9743315510697602,0.974644010880958,0.9745823936964523,0.9750306284203412
3,,,std,0.002101560938688881,0.0024174535050197673,0.0029933714022212466,0.0033435261090241928,0.002633069418525705,0.0025876248040848466
4,,simple_vector_classifier,mean,0.4688644688644688,0.6739989967565214,0.6385065049922333,0.6589395753048454,0.6538287667636833,0.5966125477556673
5,,,std,0.0,0.008084653601919874,0.0010054317251750311,0.0109821234441913,0.011139801884022402,0.008374053823077513
0,Pid,logistic_regression_classifier,mean,0.7635416666666667,0.7503523549131096,0.7398412794866746,0.6044151451955561,0.6140464922452263,0.6080662453151195
1,,,std,0.0,0.00855687175320113,0.007651657766968906,0.011010587627869635,0.008168663257599617,0.010912866542324835
2,,random_forest_classifier,mean,0.7593902309702056,0.759636980717685,0.752983578506292,0.7590528428363187,0.760915558560371,0.7598390031629741
3,,,std,0.006844549036456567,0.005372508628340897,0.006077665339045744,0.005915909123894877,0.006037870137219793,0.006083430254655716
4,,simple_vector_classifier,mean,0.7436182425786143,0.7292257518402299,0.7242992726780545,0.7263116052758539,0.7266495786711125,0.7273046117979468
5,,,std,0.0,0.0048636977523852515,0.0038710639363756932,0.0028010225156574844,0.002409725937392642,0.00229795427495868
0,Bcwo,logistic_regression_classifier,mean,0.9662753864711174,0.9682733000228979,0.968410983269109,0.9659767125967227,0.9666519272561531,0.9668097940566021
1,,,std,0.0,0.0020588760958790667,0.0017193478464716699,0.003060060975196688,0.0032668425246269507,0.002983129081184533
