,Dataset,model_name,Stats,Normal_recall,SMOTE_recall,ADASYN_recall,SG_recall,AG_recall,G_recall
0,Ilpd,logistic_regression_classifier,mean,0.7115716753022453,0.6583765112262522,0.6672999424294761,0.7142774899251584,0.7154289004029937,0.7138169257340242
1,,,std,0.0,0.007444511940768257,0.005470714573726893,0.009033569957002816,0.008541965751619156,0.008583608732151412
2,,random_forest_classifier,mean,0.7025331030512377,0.6754173862982153,0.6753022452504318,0.7046056419113413,0.7063903281519862,0.7060449050086356
3,,,std,0.008322393461654717,0.007547881126400925,0.010362694300518126,0.008454821140233418,0.006572749525970524,0.007319104115301308
4,,simple_vector_classifier,mean,0.7150259067357513,0.5800230282095566,0.5814622913068509,0.7077144502014968,0.7075993091537133,0.7096142774899251
5,,,std,0.0,0.004328694069256385,0.0029510642723889887,0.0012572228701115747,0.0010292978122079842,0.0007498661234115709
0,Csc,logistic_regression_classifier,mean,0.5875,0.6170833333333333,0.5958333333333333,0.5720833333333334,0.5829166666666666,0.5862499999999999
1,,,std,0.0,0.011598218749485611,0.022821773229381913,0.02041681327650859,0.024230247317298916,0.02905664800185056
2,,random_forest_classifier,mean,0.5629166666666666,0.5549999999999999,0.5516666666666666,0.5675,0.5625,0.5720833333333334
3,,,std,0.016893216008991203,0.020657302290740528,0.01420801942889839,0.015947110861456545,0.017677669529663678,0.017580888591824932
4,,simple_vector_classifier,mean,0.575,0.49916666666666665,0.575,0.5533333333333333,0.575,0.5695833333333333
5,,,std,0.0,0.015720255620746415,0.0,0.028034256548549415,0.0,0.021446438227446473
0,Hfcr,logistic_regression_classifier,mean,0.782608695652174,0.7129319955406912,0.7138238573021182,0.7748049052396878,0.7756967670011149,0.7768115942028986
1,,,std,0.0,0.016433517374358986,0.022948508298469734,0.012707613725508929,0.012995732256649848,0.014023555022647835
2,,random_forest_classifier,mean,0.6978818283166108,0.6881828316610925,0.6947603121516165,0.6965440356744704,0.6967670011148271,0.7002229654403568
3,,,std,0.00757245349253554,0.011575076855836534,0.009497602200426367,0.009698532685419013,0.010441601427818362,0.008760320086639468
4,,simple_vector_classifier,mean,0.6789297658862876,0.6055741360089186,0.6345596432552955,0.6822742474916388,0.6822742474916388,0.6822742474916388
