,Dataset,model_name,Stats,Normal_matthews,SMOTE_matthews,ADASYNC_matthews,SG_matthews,AG_matthews,G_matthews
2,,random_forest_classifier,mean,0.7361747849325012,0.7149506224296605,0.6982858100382973,0.7358125460225069,0.7407907015138402,0.732047236041476
3,,,std,0.02554406133400585,0.02780796288016366,0.028003644268039068,0.017531647997347383,0.014034951893214763,0.020101062817712734
4,,simple_vector_classifier,mean,0.3769616524430402,0.5565503241506023,0.5758723066836414,0.48702441657017925,0.5001123715301783,0.4803473904898214
5,,,std,0.0,0.017020560399428872,0.006197627861306612,0.048603462322695704,0.03233949485675804,0.047454909926970344
0,Drp,logistic_regression_classifier,mean,0.8467372730941392,0.8356350360913665,0.8221466840680116,0.79350037231993,0.7973220322533529,0.8243644230768413
1,,,std,0.0,0.005022608503714365,0.0060465114121072165,0.018590405959693256,0.024399844289861795,0.014574634405247257
2,,random_forest_classifier,mean,0.9445485357610188,0.9442867493110046,0.9457771187035867,0.9464559078531439,0.946316837180135,0.947268009449853
3,,,std,0.004455848929215856,0.005121043210026685,0.00634826524229867,0.007090482238931355,0.005589971600736638,0.0055064171645098515
4,,simple_vector_classifier,mean,0.0,0.3129965348178958,0.2325759772461852,0.28453211616418606,0.2641103174071616,0.21362509714469938
5,,,std,0.0,0.015670157953580816,0.0022891045730342413,0.02056045673925302,0.02372750626969826,0.012224135303235658
0,Pid,logistic_regression_classifier,mean,0.4767756635543729,0.46597437558754606,0.4496138965365091,0.11385836838399238,0.13566366087007412,0.1221719849024371
1,,,std,0.0,0.018247994534018572,0.015679540651614227,0.025457720597610676,0.018888596912636627,0.025083303747336874
2,,random_forest_classifier,mean,0.46640138403909676,0.47557962391829306,0.4647946292528132,0.4657098869818526,0.46995141286532044,0.46743162802449784
3,,,std,0.015433603128170197,0.011356253750669123,0.014601764229848475,0.013279782685596972,0.013539700281517337,0.013759319439236674
4,,simple_vector_classifier,mean,0.4422501732164245,0.41740050388858074,0.4161939724858609,0.3986749934439482,0.3996243639748254,0.40115536166261373
5,,,std,0.0,0.011040203100180699,0.008462497377490925,0.006313947634740866,0.00540407016436337,0.005076754509917413
0,Bcwo,logistic_regression_classifier,mean,0.925810233001905,0.9302632195207415,0.9312935235473302,0.9252254884902377,0.9266995823089843,0.9270628671068265
1,,,std,0.0,0.004547359870692699,0.003700241766218311,0.006760153393926812,0.00723001242265186,0.0066059838381311835
2,,random_forest_classifier,mean,0.9219051619029133,0.9218063626853562,0.9231012486351345,0.9270366500796586,0.924610298136274,0.9269026986579117
3,,,std,0.007199861006739608,0.005586408644379871,0.006218361179280295,0.005840861271491814,0.007124140089187218,0.0064632512260068935
4,,simple_vector_classifier,mean,0.919820678367547,0.9289503490835858,0.9329595356386036,0.9336175709158195,0.9319401412110956,0.9370650988964144
5,,,std,0.0,0.0039101336927108606,0.0016969451856544565,0.006477263017732604,0.006531946035448873,0.004904273233216709
0,Tsd,logistic_regression_classifier,mean,0.0262997506708031,0.16395163230058546,0.1527226737001489,0.05370915024686746,0.055432637740584476,0.06494726209801802
1,,,std,0.0,0.018022530042212055,0.01811297470863972,0.023561055724524202,0.02711031968938137,0.03172374138985583
2,,random_forest_classifier,mean,0.04170846283756775,0.06225713207684701,0.07206598362521976,0.046891261356891686,0.02707369538391536,0.01804204043837561
3,,,std,0.056527064482763165,0.02716813303686086,0.028396154865452987,0.05275873740527107,0.04831862305967074,0.048008631928665606
4,,simple_vector_classifier,mean,0.0,0.01763676291579574,0.04482337480634276,-0.016837044775370864,-0.010902540711462374,-0.005740741220837733
5,,,std,0.0,0.02443997687765533,0.05210082608611508,0.023969161702566945,0.034724607781959876,0.03558828424907386
0,Drd,logistic_regression_classifier,mean,0.4946671815015708,0.5096152674851248,,0.5007570825104131,,0.5049620732115406
1,,,std,0.0,0.006304451422490513,,0.009005545212032213,,0.010079025257701702
2,,random_forest_classifier,mean,0.3681810505967568,0.3729362818551598,,0.3665104855963653,,0.3663898968237354
3,,,std,0.012067345949046194,0.013284775730949628,,0.012988214076140269,,0.013378953847505117
4,,simple_vector_classifier,mean,0.4162269194441384,0.42848013767411997,,0.4160066191373339,,0.4144535178585588
5,,,std,0.0,0.0043461816326322775,,0.004511857027999809,,0.0038145158924186733
0,Fhs,logistic_regression_classifier,mean,0.0990361385183535,0.15901788552601334,0.16173127711028137,0.08631292583228503,0.09486736596936764,0.08940242097048305
1,,,std,0.0,0.010369368909752713,0.007307239397038426,0.020173290692693018,0.018676195360549666,0.018235497899298448
2,,random_forest_classifier,mean,0.11842616185179371,0.1404057121094355,0.13362343746533065,0.12206982894187154,0.11809028526447077,0.11856138012435194
3,,,std,0.015097358807560952,0.009886366045800597,0.01398702681550798,0.01645142552120987,0.01812041309168725,0.014671138833211129
4,,simple_vector_classifier,mean,0.0255097230232857,0.23119185723668875,0.23301761577506977,0.060393303725330645,0.06097527418252072,0.060393303725330645
5,,,std,0.0,0.004369458220321705,0.002707429645922743,0.0015937917360230088,0.0026636372586412442,0.0015937917360230088
