,Dataset,model_name,Stats,Normal_auc,SMOTE_auc,ADASYNC_auc,SG_auc,AG_auc,G_auc
3,,,std,0.006029474790061209,0.006625908742242885,,0.006519021989584375,,0.006686643300149082
4,,simple_vector_classifier,mean,0.7039658725828939,0.7047785961083833,,0.6994096401365905,,0.6989682972661696
5,,,std,0.0,0.001877774907224324,,0.002395742682823703,,0.0019462693976600005
0,Drp_Result,logistic_regression_classifier,mean,0.925625,0.9232187500000001,0.9176770833333333,0.9025,0.9044687499999999,0.9165416666666667
1,,,std,0.0,0.0024040728507164237,0.002804326405332241,0.009152532860286342,0.011670237228146071,0.007205484122304436
2,,random_forest_classifier,mean,0.9711979166666667,0.9711875,0.9718229166666668,0.9718333333333333,0.971875,0.9723020833333333
3,,,std,0.0017906368164240661,0.0020473911069523445,0.0027342851996748144,0.0030516536171149174,0.0023022547980561065,0.0021843933194025692
4,,simple_vector_classifier,mean,0.5,0.6569270833333333,0.6070729166666666,0.64309375,0.6276666666666667,0.6091979166666667
5,,,std,0.0,0.007641483090933521,0.0009932535537950404,0.010076602481226262,0.011757796539063914,0.006318953327617541
0,Dtcr_Result,logistic_regression_classifier,mean,0.7885521885521886,0.786871492704826,0.7853849607182941,0.8091717171717172,0.8081459034792368,0.8067727272727273
1,,,std,0.0,0.006297655994370444,0.004788336022489064,0.013399514065185665,0.016074541408041782,0.017436075164845032
2,,random_forest_classifier,mean,0.8835886644219978,0.8769231200897868,0.8708849607182941,0.8836548821548822,0.8849657687991022,0.8814062850729518
3,,,std,0.01051135437993802,0.011379926645348887,0.011767268308026938,0.007150304639342428,0.00619999556514574,0.008078309936106908
4,,simple_vector_classifier,mean,0.615909090909091,0.7786694725028058,0.7949691358024692,0.7359663299663299,0.73924354657688,0.7275757575757577
5,,,std,0.0,0.009961277085378122,0.0026578158056493073,0.021076493588000147,0.01613513975319997,0.021105960354557425
0,Fhs_Result,logistic_regression_classifier,mean,0.5134169379542245,0.6086819448408661,0.6079993982752229,0.5273262268826623,0.5293462022926139,0.527953039607501
1,,,std,0.0,0.007130238689485225,0.005123124084857223,0.006859680640644373,0.007443458341120787,0.006583878201055045
2,,random_forest_classifier,mean,0.5222278734432687,0.5548516906671483,0.5491421176273517,0.5225557246740544,0.521835990050506,0.5219671517710837
3,,,std,0.0031752263692288165,0.0038935109941604204,0.005004596348385064,0.003238821606374477,0.003835737244631499,0.0030004930729225286
4,,simple_vector_classifier,mean,0.5013116172057778,0.657341659830201,0.6546171183558671,0.5046097270604972,0.5046695714650454,0.5046097270604972
5,,,std,0.0,0.0030189827084839567,0.0018307491800641663,0.00016389065155749202,0.00027390356968523256,0.0001638906515574923
0,Ggcm_Result,logistic_regression_classifier,mean,0.8785700952025387,0.88155159137577,0.8804915492190903,0.8747666604442785,0.8761557113745255,0.8750793354489452
1,,,std,0.0,0.0010796757720700455,0.0013257402479992673,0.004108287992124994,0.003813584367577249,0.004682169982268013
2,,random_forest_classifier,mean,0.8342668860058491,0.837306425393566,0.8332132606869517,0.8363952344284736,0.8354716959118911,0.8351562013875925
3,,,std,0.004654778148471402,0.004031809400225079,0.004983651770005324,0.004367571061370902,0.004191153743555929,0.0035378346450144036
4,,simple_vector_classifier,mean,0.7298015447078587,0.7490466134652479,0.749239215823533,0.752251143363823,0.7447183591562442,0.7533013658141995
5,,,std,0.0,0.0034223178232174246,0.0012400660863668774,0.005523132065573751,0.006304047160627567,0.0026724919979720795
0,Hfcr_Result,logistic_regression_classifier,mean,0.7438167077175696,0.7140992747673782,0.7132004310344828,0.7315724206349207,0.7331443281335522,0.7352464764641489
1,,,std,0.0,0.013494037714299878,0.01743355090589725,0.01429911732458806,0.01788840790689227,0.014534163492509597
2,,random_forest_classifier,mean,0.6589995552818828,0.6748255336617406,0.6791204844006569,0.6598445197044336,0.6606492884510126,0.6640180281882869
3,,,std,0.009594927279873822,0.012529802486203981,0.011537986111615252,0.012033787023199566,0.01244350435725643,0.010439378028018488
4,,simple_vector_classifier,mean,0.5,0.4989608990147783,0.49477627257799667,0.5134441707717571,0.5134441707717571,0.5134441707717571
5,,,std,0.0,0.012349680317343233,0.005583593965967857,0.0,0.0,0.0
0,Ilpd_Result,logistic_regression_classifier,mean,0.5522617479139219,0.69069901917728,0.6950556287512809,0.6056111843068365,0.6030749524227785,0.6008541941150637
1,,,std,0.0,0.007446238964399169,0.005982315059782495,0.011718134937564626,0.008076896629207036,0.009877057728695932
2,,random_forest_classifier,mean,0.5888325281803543,0.6238801054018446,0.6250146391450738,0.5938054457619675,0.5952356902356902,0.5934145805884936
3,,,std,0.009852804328661258,0.008212638839012925,0.011862995609961386,0.011617700027270117,0.008899386562235063,0.008640464282224564
4,,simple_vector_classifier,mean,0.5,0.6589942907334212,0.6578136436832089,0.49677060459669153,0.4967508417508417,0.49809910701215043
5,,,std,0.0,0.0036303086997416106,0.0027435587296622712,0.0011057365780806953,0.000987300323160413,0.0007468120203541961
0,Pid_Result,logistic_regression_classifier,mean,0.7235820895522387,0.7399840796019901,0.7329442786069651,0.5526293532338309,0.5621169154228856,0.5562487562189056
1,,,std,0.0,0.009358740380715568,0.007992708683398202,0.012073865707663733,0.009034797506233906,0.011628878472689707
2,,random_forest_classifier,mean,0.7217393034825871,0.7408776119402986,0.7371507462686567,0.7209512437810945,0.7231213930348258,0.7222169154228856
3,,,std,0.007532493613773054,0.0056844904168710155,0.008074527784331263,0.006748024144696267,0.007030137286321615,0.006421896969313887
4,,simple_vector_classifier,mean,0.6938059701492537,0.7142995024875621,0.7156701492537313,0.6772691542288558,0.67751592039801,0.6782134328358208
5,,,std,0.0,0.00586262400653687,0.0044399105000075875,0.0031981144808111276,0.0027270177249994337,0.002700882970784032
0,Tsd_Result,logistic_regression_classifier,mean,0.5033928571428572,0.6126011904761905,0.6036309523809523,0.5154761904761904,0.5160595238095238,0.5180238095238096
1,,,std,0.0,0.012529230718217953,0.01251664385711804,0.006597622173471962,0.008419075667355483,0.008776153902276542
2,,random_forest_classifier,mean,0.5048095238095238,0.5189642857142858,0.5212440476190475,0.5052559523809523,0.5032559523809523,0.5025714285714286
3,,,std,0.006033628588050538,0.008457577208923251,0.008722055424096925,0.005687994345455914,0.005327026045181556,0.005996091560693696
4,,simple_vector_classifier,mean,0.5,0.5066547619047619,0.5032916666666666,0.49852380952380954,0.4992380952380952,0.49957142857142856
5,,,std,0.0,0.0112310648113028,0.004178324940451496,0.0026202322294845847,0.004028873330638792,0.0034022749767755535
0,Falling_Result,logistic_regression_classifier,mean,0.499982525285823,0.746718904746325,0.7468925999675939,0.6379717090828982,0.6259806459198758,0.5786175138370189
1,,,std,7.138989892490286e-05,0.00031601915964931656,0.0005605521615406315,0.03803326058445288,0.060879323999073004,0.04590032573447327
