,Dataset,model_name,Stats,Normal_accuracy,SMOTE_accuracy,ADASYN_accuracy,SG_accuracy,AG_accuracy,G_accuracy
0,Drp,logistic_regression_classifier,mean,0.9251282051282051,0.9206410256410256,0.9140384615384616,0.8973717948717949,0.894423076923077,0.9147435897435898
1,,,std,0.004972207324494147,0.0066795766993123906,0.006664604693702528,0.011139011141190423,0.010130121588373257,0.006687209049963675
2,,random_forest_classifier,mean,0.9790384615384615,0.9785897435897436,0.9789743589743589,0.9788461538461538,0.9782692307692308,0.9794871794871794
3,,,std,0.004826884768465816,0.004565751398491104,0.004762609133591442,0.004922372297054568,0.0054894586522383345,0.004746516171413517
4,,simple_vector_classifier,mean,0.6153846153846154,0.6672435897435898,0.6612179487179487,0.6564102564102564,0.656025641025641,0.5939102564102564
5,,,std,0.0,0.01105858125054829,0.008849949210803563,0.01536249514976056,0.01654087741695227,0.008556903717925217
0,Dtcr,logistic_regression_classifier,mean,0.8993037423846822,0.8867711053089643,0.883899042645779,0.8932985204525675,0.8947780678851175,0.8907745865970409
1,,,std,0.005723763534774642,0.00743199407931872,0.006881828215712269,0.006122618299770903,0.0062524229955474,0.008702469881525768
2,,random_forest_classifier,mean,0.9609225413402959,0.9588337684943429,0.9583115752828546,0.9560487380330722,0.9571801566579635,0.956396866840731
3,,,std,0.0050144864056385656,0.005557056560972507,0.005014486405638612,0.005861737939822959,0.004730648731834093,0.005405523894070386
4,,simple_vector_classifier,mean,0.7724107919930374,0.8469103568320279,0.8426457789382071,0.8266318537859009,0.8302872062663185,0.8170583115752829
5,,,std,0.0038838009769340143,0.008298724209253448,0.007156449672841893,0.021416727985924096,0.016598392608763814,0.016440914442619456
0,Bcwo,logistic_regression_classifier,mean,0.9676427525622255,0.9692532942898975,0.9685212298682284,0.9689604685212299,0.9693997071742313,0.9692532942898975
1,,,std,0.001404869319069165,0.0024317856472544463,0.0020254745419212303,0.0027296726190301555,0.0030603324323352373,0.002663887708037149
2,,random_forest_classifier,mean,0.9705710102489019,0.9708150317227916,0.9694973157637873,0.9712054660810151,0.9712054660810151,0.9727672035139092
