,Dataset,model_name,stats,Smote_time(ms),Ada_time,Gan_time,SG_time,AG_time
2,,simple_vector_classifier,sum,0.1379697404000002,0.17630450780000062,86.25534814039986,88.94100080020046,84.18305756039975
0,Ilpd_Result,logistic_regression_classifier,sum,0.1783335556,0.2229400334000009,180.43646761699972,260.1406601318028,244.17501320880018
1,,random_forest_classifier,sum,0.15392369440000003,0.22919510899999987,177.68984646859988,231.98402998760042,228.44007864819895
2,,simple_vector_classifier,sum,0.15217600299999887,0.21206495700000053,172.9140122216005,239.42964912040068,230.77712168039977
0,Pid_Result,logistic_regression_classifier,sum,0.1415484999999997,0.2112731961999991,220.29292569120062,253.64558272300695,254.5997948041983
1,,random_forest_classifier,sum,0.16633868299999996,0.24999831880000348,209.8160266493991,260.47971732800045,238.28702321239896
2,,simple_vector_classifier,sum,0.14938974959999995,0.21254286279999723,197.7551928601984,237.51808348879962,231.77127531279774
0,Tsd_Result,logistic_regression_classifier,sum,0.20565683479999786,2.3261681824000084,99.96229525600151,150.7285277373977,146.90990300599486
1,,random_forest_classifier,sum,0.26041101159999674,0.3024761323999948,95.45943205500245,152.2290583387971,143.41098376480414
2,,simple_vector_classifier,sum,0.1821075333999965,0.21973378339999908,95.62486042499839,158.9622911968052,140.71123075579405
0,Falling_Result,logistic_regression_classifier,sum,0.3091262134713614,1.465519624833868,268.709585522884,64888.96018756744,59795.83618064063
1,,random_forest_classifier,sum,0.2289641361473103,1.1932846649522502,286.3667904348908,65363.694905260534,57914.47460363108
2,,simple_vector_classifier,sum,0.2384021390316796,1.2341261917877797,283.46066715651773,63858.31560831422,59319.587167324426
0,Lying_Down_Result,logistic_regression_classifier,sum,0.30912620900538507,1.465519627777046,268.7095855189137,64888.96018755966,59795.83618062839
1,,random_forest_classifier,sum,0.4133026091590415,1.3761688036619484,630.7685101025421,167453.15607274132,158793.50734828957
2,,simple_vector_classifier,sum,0.23840213759291853,1.2341261909808117,283.46066715953685,63858.3156083097,59319.58716733663
0,On_All_Fours_Result,logistic_regression_classifier,sum,0.3091262097236978,1.465519609058636,268.7095855331384,64888.96018757009,59795.8361806413
1,,random_forest_classifier,sum,0.3087766301392201,1.293645257727549,608.2476245804327,202150.88788658968,192168.7529488416
2,,simple_vector_classifier,sum,0.2384021444689199,1.234126184379691,283.4606671551919,63858.31560831618,59319.58716733247
0,Standing_Up_From_Lying_Result,logistic_regression_classifier,sum,0.8532657530427649,1.8417833331927467,1262.9168544099705,321386.8724724744,316361.80999432155
1,,random_forest_classifier,sum,0.5012595521561004,1.7935700666896395,1322.7048362852258,289332.68891782546,278456.15796208713
2,,simple_vector_classifier,sum,0.824701161630286,2.400701347217616,1626.7652941392655,306873.4055982238,294171.8392261178
0,Sitting_On_The_Ground_Result,logistic_regression_classifier,sum,0.8532657625811282,1.8417833466025404,1262.916854414077,321386.8724724743,316361.8099943086
1,,random_forest_classifier,sum,0.5012595473400757,1.7935700575150477,1322.7048362731193,289332.6889178418,278456.1579620852
2,,simple_vector_classifier,sum,0.6480578164302728,1.8036898631849256,1125.7949391523289,239906.23492516935,221573.89840647674
