,Dataset,model_name,Stats,Normal_f1_score,SMOTE_f1_score,ADASYN_f1_score,SG_f1_score,AG_f1_score,G_f1_score
0,Drp,logistic_regression_classifier,mean,0.925257811444745,0.9210933667341368,0.9147434438310699,0.8981641888063318,0.8952735080129731,0.9151797763646948
1,,,std,0.00495858959734832,0.006634019949002876,0.006579930018720342,0.010981455746737503,0.009992527041163808,0.006572576068180391
2,,random_forest_classifier,mean,0.9790482341608848,0.978598835199271,0.9789823221122141,0.978852099185202,0.9782813647245201,0.9794931657930276
3,,,std,0.004831090881862717,0.004569359258839565,0.00477239129759519,0.0049288103246197795,0.0054898721518017,0.004751561934725177
4,,simple_vector_classifier,mean,0.4688644688644688,0.6674644039942195,0.6499815150489582,0.6574653014466989,0.6528045128616247,0.5983706479574348
5,,,std,0.0,0.010860809602959114,0.010176073144066546,0.014075777977968504,0.015316527729735803,0.008983343917462496
0,Dtcr,logistic_regression_classifier,mean,0.8987321310880703,0.8885059396539959,0.8861328509194022,0.8935421857926086,0.8949777067892729,0.891126289397776
1,,,std,0.005670511634666676,0.007240039230922661,0.006680746912554108,0.0059962427898623116,0.006116808892030219,0.008502278586917721
2,,random_forest_classifier,mean,0.96054223019584,0.9586552027892785,0.9581792001916849,0.9557492930266221,0.95685024918708,0.9560745523426217
3,,,std,0.005025271412741296,0.005547940490324487,0.005000844116310282,0.005854028920579837,0.004719397820184386,0.005419713227296455
4,,simple_vector_classifier,mean,0.7238690075463058,0.8469200905406431,0.8437403417034037,0.8232422062425427,0.8268212140295759,0.8125132336642914
5,,,std,0.0057552382511278114,0.008270564158781248,0.007234861689013205,0.021060236433649338,0.01584862179691185,0.015972766956363394
0,Bcwo,logistic_regression_classifier,mean,0.9676164725414699,0.9692787375819782,0.96866776043062,0.9690148161465395,0.9694310328304977,0.9692975991020204
1,,,std,0.0014144164847085764,0.0024399279514201407,0.002009945421027236,0.002722127299168484,0.003075070609858108,0.0026719414174400163
2,,random_forest_classifier,mean,0.9706170509301545,0.970901572584895,0.9696122399524951,0.9712935144874418,0.9712816317001532,0.9728594016238502
3,,,std,0.002505467917410684,0.00287803814083492,0.0025476757845191056,0.002591476704901392,0.0028427067435545152,0.003069101316577562
4,,simple_vector_classifier,mean,0.9700384317501046,0.9706270562324176,0.9700767197844915,0.9719025611073241,0.9717516455020446,0.9714639093765024
5,,,std,0.002016595197583599,0.0023310259290615903,0.0015485423372187926,0.0025624151160628644,0.0022452796383225985,0.0018607317358778524
0,Hfcr,logistic_regression_classifier,mean,0.8163739825520753,0.7753821022008195,0.7801208385383588,0.8160086255674339,0.8114510702355786,0.8085189484751908
1,,,std,0.0065755707180216024,0.01030615618279283,0.012695219719885392,0.010110338766101203,0.008616397103967784,0.010109864984868627
2,,random_forest_classifier,mean,0.8402729602277241,0.8485270356432255,0.8461432803803218,0.8422945883313038,0.8431751598863307,0.8415853133120562
3,,,std,0.009583991046355265,0.010220184620158529,0.007327767473092001,0.00984516109197807,0.0100590085296422,0.01077553098569924
4,,simple_vector_classifier,mean,0.5490945915335314,0.5814001625593563,0.5828460428331367,0.5698011891771717,0.5700397597989254,0.5698011891771717
5,,,std,0.0,0.01836558177848502,0.013654922888293371,0.0035254547113026283,0.0035302519224461476,0.0035254547113026283
0,Csc,logistic_regression_classifier,mean,0.6216852334302722,0.6485804254898907,,0.601461827896646,,0.6009744117549108
1,,,std,0.03480607128376703,0.03196672759010532,,0.027299404474090946,,0.03607481537443369
2,,random_forest_classifier,mean,0.5741402375679532,0.5752516942788684,,0.5752087638551866,,0.5732971706973671
3,,,std,0.03126469237999852,0.03425145606551462,,0.030620417688668793,,0.031559786820743084
4,,simple_vector_classifier,mean,0.4198412698412698,0.44395609336636765,,0.5353593083147418,,0.5610705830506105
5,,,std,0.0,0.03817615916950575,,0.03492652250026774,,0.0241517009519564
0,Bcwd,logistic_regression_classifier,mean,0.9427504492994613,0.9448124001339828,0.9358786259343314,0.9393994943940847,0.9405741800210147,0.939820262141701
1,,,std,0.004884902761897605,0.004762883640204459,0.005954436154940517,0.006231079962792886,0.004034225517031925,0.006459390673997169
2,,random_forest_classifier,mean,0.9609078502221856,0.9615484632124829,0.9605586799811119,0.9603743587329189,0.9604983231112236,0.9608303056238704
3,,,std,0.00379740987990243,0.003514182020243241,0.003731712448365104,0.0036096196104070596,0.0034264921592041947,0.00339869142591186
4,,simple_vector_classifier,mean,0.9147334409023888,0.9092160127467417,0.9012050372252425,0.9186887823768632,0.9184346691166323,0.9186232676996292
5,,,std,0.004292202796032319,0.004155731329536304,0.002235063549089304,0.001632908390732654,0.0018868509576044927,0.0015723591896767142
0,Tsd,logistic_regression_classifier,mean,0.7834545879082618,0.6907926498596401,0.7017137998381017,0.7906390484439105,0.7914978032076156,0.7909215694167605
1,,,std,0.005794215352709053,0.012091630669051485,0.009630189099927635,0.004865814919348093,0.00581573733938634,0.0071685719206444265
2,,random_forest_classifier,mean,0.7832063197454602,0.7844836959601488,0.7854464909157692,0.783005776755833,0.7844636133655953,0.7832199594263434
3,,,std,0.0036102619373713477,0.007115950364500172,0.007677480188576182,0.004233977194293013,0.004382375897737957,0.0038764788256952618
4,,simple_vector_classifier,mean,0.7825874296894105,0.2935026211205149,0.7731295999359046,0.7813988989832785,0.7814585340186538,0.7821862607176481
5,,,std,0.0,0.07573655878035718,0.015321852856158023,0.00228509513781623,0.0024895168755218883,0.0024330248198046957
0,Drd,logistic_regression_classifier,mean,0.7461776598038677,0.7412337387349993,,0.7398914266656205,,0.7415005414132481
1,,,std,0.003772413850510439,0.0037601670866124993,,0.005814535795914284,,0.00545973495766009
2,,random_forest_classifier,mean,0.6799790496635446,0.6800239341931757,,0.6790903505032412,,0.6810930119837605
3,,,std,0.007729179537015659,0.008610913432585953,,0.008948383492935957,,0.010275911082288324
4,,simple_vector_classifier,mean,0.6936335740949264,0.6827437224345395,,0.6810443164003404,,0.6811558112241246
5,,,std,0.0044577018765854385,0.003729466855583313,,0.003465257562009894,,0.002896040104607052
0,Pid,logistic_regression_classifier,mean,0.7642221732063119,0.7478770622845191,0.7376884223428458,0.6111524256803874,0.6149218361368314,0.6081196281762637
1,,,std,0.007864270160897602,0.008934439390087244,0.009972767617758425,0.011411841904319282,0.010825930225333822,0.008788465980450641
2,,random_forest_classifier,mean,0.7558385885943724,0.7554741332755687,0.7520025042871937,0.7583186432567639,0.7580497239327262,0.7598447126253295
3,,,std,0.007741924546415338,0.008321874508457842,0.008940015918732482,0.00745833694723714,0.008282054279145488,0.005264999963944742
4,,simple_vector_classifier,mean,0.7432337131061567,0.7333280682562436,0.7237394420929129,0.7262108858803445,0.7263163523565318,0.727222703501015
5,,,std,0.004276627328184629,0.0067096784465459905,0.006520226336315692,0.0056373457880181605,0.004980127545396317,0.005156564186151973
0,Ilpd,logistic_regression_classifier,mean,0.6655320875412485,0.6788015959648406,0.6821541210225367,0.6972549916006229,0.6946363859141347,0.6940649968199337
1,,,std,0.008560772497444037,0.0073311087858750415,0.006596225790847633,0.008345829518474946,0.008536758328826171,0.010186644317729122
2,,random_forest_classifier,mean,0.6836955682513275,0.6963902089063864,0.697903326882834,0.6935033816557402,0.6934384459573625,0.691655943753442
3,,,std,0.013406202041302714,0.011998131158427162,0.014336589946309767,0.010161329316855568,0.010940269000583562,0.013297900700389194
4,,simple_vector_classifier,mean,0.5962149554654604,0.5949975222490348,0.6011649774313386,0.5975218526268775,0.5978561339403515,0.5951603014522234
5,,,std,0.0,0.005861820916881282,0.0037828250271013525,0.0030971415295447443,0.0033439600361816276,0.002038601430076938
0,Ggcm,logistic_regression_classifier,mean,0.8705453636176899,0.8737523310157742,0.8735364863169957,0.8689083864458521,0.8706569231484189,0.8705719024184955
1,,,std,0.0018113939698840354,0.002400544228697058,0.0020780869067230285,0.0043828073617273025,0.002775670101411886,0.003219566791639053
2,,random_forest_classifier,mean,0.8393526764823985,0.8409964856479096,0.8391306530972769,0.8395442778714646,0.8395068748806358,0.8383861771837626
3,,,std,0.007169955269181949,0.007890994736186707,0.007949912121563981,0.008108967516492557,0.007681186121926011,0.0068687650755784166
4,,simple_vector_classifier,mean,0.74163927613281,0.7460275184000896,0.7548146223846909,0.7440036090014204,0.7481207746598256,0.7408561195244452
5,,,std,0.002308052657583006,0.004625642338895066,0.0038452953449552856,0.005328781613926874,0.004153034414026319,0.0033473289498985887
0,Fhs,random_forest_classifier,mean,0.7931955648089295,0.7942336340401416,0.7941397040917041,0.792398598669535,0.7920968166191708,0.7925949622874061
1,,,std,0.0021135515062265225,0.003486173700564206,0.0031082762449481053,0.0029584592999715577,0.002338079769130209,0.001958374706928899
2,,simple_vector_classifier,mean,0.7788010129650701,0.7015225693501409,0.7241126785157974,0.7806352798641814,0.7805249153441953,0.7805660492047332
3,,,std,0.0008187748482476373,0.002430396310016695,0.003354037872949544,0.0007035874552713206,0.0004881659378321786,0.0007336031413912655
