,Dataset,model_name,Stats,Normal_specificity,SMOTE_specificity,ADASYNC_specificity,SG_specificity,AG_specificity,G_specificity
1,,,std,0.009480383199592766,0.009639467684642902,0.011298067212196866,0.015109950650121499,0.01432702138491551,0.012054524432524607
2,,random_forest_classifier,mean,0.6784826388888889,0.7234550010364843,0.7269230203150912,0.6808363028606965,0.6812962012852405,0.6818934649668325
3,,,std,0.010240980312743786,0.00960695643164252,0.011627174758861073,0.011042626716309635,0.011353644557913978,0.008942143151667949
4,,simple_vector_classifier,mean,0.6292905472636815,0.7111792651326699,0.719350932835821,0.6126686152570481,0.612772854477612,0.613665376243781
5,,,std,0.0061216720537320924,0.008257171845487653,0.007917470674983457,0.007636414338706331,0.005952344535339199,0.006060324767810288
0,Ilpd,logistic_regression_classifier,mean,0.40012321154019737,0.7363150768782668,0.722769604887199,0.4922546786480105,0.486091833708414,0.48187148954438885
1,,,std,0.013134324401979548,0.01289840646404527,0.01487363837615841,0.014121206545077826,0.016798533757180743,0.017047890188744533
2,,random_forest_classifier,mean,0.46226544183291196,0.5828093505453271,0.5863517581764934,0.4797302908183737,0.47944139146211684,0.4756033034406542
3,,,std,0.01914411119223652,0.020689909574566463,0.01806814600735936,0.01910930508028472,0.017062296487710602,0.019623765925302024
4,,simple_vector_classifier,mean,0.2849740932642487,0.7399810677170443,0.7383941692209319,0.2876748789995016,0.2879799420957339,0.284662802842573
5,,,std,0.0,0.006873427988488239,0.005885693360355549,0.003412597332894051,0.0036555013751011565,0.002206042314756914
0,Ggcm,logistic_regression_classifier,mean,0.8798293053474937,0.8855654616555898,0.8867319487611182,0.879174479879919,0.8815142816137923,0.881141840348427
1,,,std,0.0022778310775328162,0.0024484935253559145,0.0022156988458735933,0.0047926699147759514,0.0035214670172445768,0.003925504124025878
2,,random_forest_classifier,mean,0.8358622754572621,0.8411224297328103,0.8412616501053987,0.836580907287974,0.836499689455366,0.835170615343015
3,,,std,0.008935630648115448,0.009336824801261228,0.009042137597862814,0.0100101027269899,0.009103381994908627,0.008734216152443807
4,,simple_vector_classifier,mean,0.7188080440256582,0.7565681582988154,0.7476170079672525,0.7565761251713103,0.7451305529715463,0.7657487730993181
5,,,std,0.002505251378071372,0.004951486596701802,0.004214507735952016,0.0063551272756979995,0.006175902000559453,0.004027978283160034
0,Fhs,random_forest_classifier,mean,0.20066048301501305,0.29034012726785946,0.27565586909114737,0.19898468365428276,0.19830880048322025,0.19922198371670133
1,,,std,0.005117103816430175,0.01094377769401001,0.008240574209522455,0.007237234337551258,0.00579694614971987,0.004867880762194367
2,,simple_vector_classifier,mean,0.15491686583589734,0.6709719274824048,0.6343461244347209,0.15978384413948596,0.1594859994901298,0.15963001149557368
3,,,std,0.0018168733598090217,0.007431920802240371,0.007578214998954849,0.001683865168146165,0.0011720653732849343,0.001676248642814398
