model_name,Normal_accuracy,Normal_f1_score,Normal_precision,Normal_recall,Normal_specificity,Normal_matthews,Normal_auc,SMOTE_accuracy,SMOTE_f1_score,SMOTE_precision,SMOTE_recall,SMOTE_specificity,SMOTE_matthews,SMOTE_auc,ADASYN_accuracy,ADASYN_f1_score,ADASYN_precision,ADASYN_recall,ADASYNC_specificity,ADASYNC_matthews,ADASYNC_auc,SG_accuracy,SG_f1_score,SG_precision,SG_recall,SG_specificity,SG_matthews,SG_auc,AG_accuracy,AG_f1_score,AG_precision,AG_recall,AG_specificity,AG_matthews,AG_auc,G_accuracy,G_f1_score,G_precision,G_recall,G_specificity,G_matthews,G_auc,Smote_hell,Ada_hell,Gan_hell,SG_hell,AG_hell,Smote_time(ms),Ada_time,Gan_time,SG_time,AG_time
logistic_regression_classifier,0.981863072894989,0.972978951900756,0.964263638601644,0.981864211735558,0.0180358352369051,-0.00140918689890241,0.499953322828957,0.671298009583813,0.78683621648206,0.97805735343607,0.671299849990003,0.821939180762932,0.138521988094256,0.74662206708482,0.679338619369624,0.79264117668734,0.977869214322858,0.679337988659806,0.812517699193699,0.138986231651764,0.745928459993549,0.804144889400623,0.875799157779824,0.971215244601365,0.804145876663915,0.48098938396582,0.0957788990754753,0.642569579432151,0.89380907148976,0.927659321029192,0.96606894464327,0.893815660250829,0.171606232390069,0.0298491639598516,0.532707987881962,0.862904522780759,0.910666858278929,0.969057054575845,0.862900406589995,0.336126597322226,0.0785415362940516,0.599515000376594,0,0,0,0,0,30.9126208718907,146.551960044863,26870.9585534256,6488896.01876023,5979583.61806618
logistic_regression_classifier,0.981864846774793,0.972981955796605,0.964261178438106,0.981864714110194,0.01803491508846,-0.00140882017821751,0.499952537372619,0.67087122520018,0.786522378357969,0.978076772445259,0.67086959687034,0.822927707563286,0.138627538858053,0.746894607289605,0.678760343398154,0.792215883954806,0.977923243364848,0.678756386252715,0.814817433894344,0.139398369433066,0.746786188006426,0.813361491183599,0.881349901421434,0.968901436344923,0.813364944173353,0.374179403590398,0.0647097396295981,0.593771413945069,0.789889891326637,0.86695137742134,0.97146947213333,0.789892590028701,0.502521704024006,0.095532452261381,0.646211570734107,0.879904521400876,0.920134323402465,0.967402562969257,0.879904458326486,0.245644985587111,0.0532928700570975,0.562773490009827,0,0,0,0,0,30.9126223596219,146.551963971169,26870.9585545644,6488896.01875426,5979583.61806458
logistic_regression_classifier,0.981859214845045,0.972982377195487,0.964264958365978,0.981865390186522,0.0180343610732668,-0.00140829857046839,0.499952721764016,0.671301354846043,0.7868423669801,0.978057301222442,0.671298854023136,0.821943862844905,0.138519863341284,0.746625374534481,0.67933960729965,0.792642185951562,0.977868005137266,0.679336538514714,0.812512681671261,0.138985532400823,0.745929886977934,0.80414505632061,0.875794256267163,0.971218217294411,0.804150584428822,0.480989716006423,0.0957780643352133,0.642573351045855,0.893809295631182,0.927659592781826,0.966065848995524,0.893813540810652,0.171609346325961,0.0298480412259107,0.532708358183809,0.862903429016101,0.910669744023989,0.96905465116066,0.862904717421203,0.336128645039601,0.0785408149854375,0.599513083369508,0,0,0,0,0,30.912618274966,146.551965063205,26870.9585547198,6488896.01875767,5979583.61806567
logistic_regression_classifier,0.981865977915504,0.972983410997809,0.964261195042231,0.981859238237506,0.0180373754229112,-0.00140980678683644,0.499947697486921,0.670872818277002,0.786529673283285,0.978075239847375,0.670868728655241,0.822929451861946,0.138630040540269,0.746901662001478,0.678758382993407,0.792217300237095,0.977926411489381,0.678759154720661,0.814813762085434,0.139397102695789,0.746788938938134,0.813364750386566,0.8813536487262,0.968900170223739,0.81336055643478,0.374181249913295,0.0647068716332037,0.593771373410188,0.789894459923911,0.866952407950111,0.971469603971953,0.789894836675569,0.502525151690788,0.0955396081606529,0.646209303423286,0.879900168234382,0.920137816310587,0.967405312552174,0.879907057018517,0.245643692040894,0.0532923804983853,0.562770156451932,0,0,0,0,0,30.9126238444389,146.551959486559,26870.9585514515,6488896.01875868,5979583.61806313
logistic_regression_classifier,0.983858885923744,0.972980063700635,0.964261641322166,0.981862293240034,0.0180397719455391,-0.00141416815410431,0.499951396765139,0.671825702437535,0.787219800033642,0.97802822963063,0.671828296947232,0.820964279778639,0.138446265730472,0.746394884225779,0.679137927647083,0.79248812845381,0.97795387950804,0.679142258002937,0.815814898388671,0.139822201605515,0.747473986477632,0.699285796842654,0.807105095352371,0.973144976479353,0.699284230630966,0.628972167062932,0.0948453641699692,0.664126599625684,0.683681266120893,0.795907646337005,0.975942778140942,0.683679425538074,0.740941167086487,0.120639396982543,0.712314057371289,0.771729914675998,0.855464159229165,0.971895058793767,0.771728840296617,0.53322780139021,0.0965315935197548,0.652477598653603,0,0,0,0,0,30.9126196567363,146.551958924327,26870.958551638,6488896.01875463,5979583.6180603
logistic_regression_classifier,0.981871215280285,0.973000916264027,0.965216264433056,0.981869421719187,0.0183641047968426,0.00279815684728608,0.500114078357402,0.671155387524877,0.786728765105469,0.978090331154096,0.671160110676211,0.823257450283676,0.138834016421013,0.747209813691149,0.679941841218451,0.793066171281188,0.977929738967149,0.679941184278992,0.8145044910105,0.139772062717531,0.747224499833294,0.790606906634475,0.867367696430812,0.969340712415479,0.79060315179003,0.412067130555109,0.066688480094515,0.601331859102135,0.694819158269528,0.804183681457128,0.970623120101657,0.694817769273026,0.536434901673726,0.066760835754215,0.615626161917933,0.745943025010414,0.838925710952037,0.965982473096071,0.745938433313868,0.311203077992327,0.0176317501891359,0.528566535789482,0,0,0,0,0,30.9126209379036,146.551960637443,26870.9585540839,6488896.01875655,5979583.61806299
logistic_regression_classifier,0.981903201004838,0.972978340648723,0.964260948029617,0.981865758383537,0.0180372094331241,-0.00140770240332391,0.49994895213307,0.671321858994158,0.786850319967923,0.978043931264251,0.671321955511421,0.821615560983819,0.138437717971422,0.746467625302946,0.679597461211963,0.792824962008008,0.977919482410714,0.679602235067773,0.814497669838337,0.139642423484254,0.747046450474231,0.706398433157815,0.811959172470883,0.974330567715934,0.706397421760299,0.66971280594584,0.109254692352701,0.688057291916524,0.687657483534386,0.799137778804879,0.971076546366922,0.687664195200916,0.55842315692738,0.0705377818882696,0.623042255174726,0.863735864053075,0.910869174067447,0.966817740238753,0.86373449415929,0.23577201845943,0.0398609936211246,0.549756387243443,0,0,0,0,0,30.9126188826156,146.551959578678,26870.9585496321,6488896.01875814,5979583.61806357
logistic_regression_classifier,0.981865469146306,0.97297722195211,0.964261671866942,0.981865499621389,0.0180367058991052,-0.00141508642418996,0.499953072469081,0.671322687404933,0.786850425711335,0.978047812967002,0.671322442470163,0.821609131512819,0.138435218503756,0.746467877436332,0.679603601977514,0.792823068049215,0.977923321625012,0.679601281713275,0.814500923499098,0.13963561617582,0.747053835499181,0.706401502474745,0.811957825193597,0.974328132943831,0.706395719131223,0.669710280326809,0.109247146390962,0.688052418469227,0.687661049417695,0.799135033255698,0.971081379886394,0.687658698718021,0.558424652282869,0.0705362461612234,0.623042755117193,0.863738530778903,0.910871858471395,0.966817502916895,0.863741509397021,0.235771805516375,0.0398627873807136,0.549756575581045,0,0,0,0,0,30.9126211535644,146.551962343384,26870.9585548162,6488896.01875984,5979583.6180639
logistic_regression_classifier,0.981858830106843,0.972985242055214,0.964265103190417,0.981865847727416,0.0180330530155393,-0.00141376999792509,0.499952009429226,0.671829803870953,0.787221296838167,0.978028343498852,0.671833485454608,0.820962314666087,0.138449233388299,0.746395945830362,0.679137231656808,0.792491708783235,0.977957426057442,0.679140493539036,0.815809787731576,0.139822556347343,0.74747971346905,0.699280368914775,0.807108500177146,0.973146168172994,0.699283493225626,0.628972926740237,0.0948523762590816,0.664128556420765,0.683681342844555,0.795906849263836,0.975944246754436,0.683681082774944,0.740942410979067,0.120636805132517,0.712317292487574,0.771730306704812,0.855462107028672,0.971892122573993,0.771727003204309,0.533222995271753,0.0965288635571953,0.652472198946173,0,0,0,0,0,30.9126248276939,146.551959864954,26870.9585554122,6488896.01875576,5979583.61806709
logistic_regression_classifier,0.981867324603865,0.972999220942107,0.965212974591806,0.981868833778063,0.0183683031603922,0.00279415153643079,0.500119079111476,0.671154820894038,0.786727359969401,0.978090537030836,0.671153906164599,0.823257336485116,0.13882952333377,0.747206584539468,0.679943407086592,0.793066489198566,0.977929129101009,0.679937052739642,0.814510226415977,0.139775264155418,0.747222177777333,0.790604167503565,0.867367562087883,0.969343163690365,0.790602699937977,0.412068614307604,0.0666880161573732,0.601331048488915,0.694817104907316,0.804185579912048,0.970628456436193,0.69482123881484,0.536434212092721,0.0667592443945625,0.615626806821833,0.745938148502941,0.838922749830239,0.965982985251819,0.745938698508029,0.311202314023985,0.0176322129276987,0.528570720191668,0,0,0,0,0,30.9126189142665,146.551959144054,26870.9585533947,6488896.01875433,5979583.61806389
