model_name,Normal_accuracy,Normal_f1_score,Normal_precision,Normal_recall,Normal_specificity,Normal_matthews,Normal_auc,SMOTE_accuracy,SMOTE_f1_score,SMOTE_precision,SMOTE_recall,SMOTE_specificity,SMOTE_matthews,SMOTE_auc,SG_accuracy,SG_f1_score,SG_precision,SG_recall,SG_specificity,SG_matthews,SG_auc,G_accuracy,G_f1_score,G_precision,G_recall,G_specificity,G_matthews,G_auc,Smote_hell,Gan_hell,SG_hell,Smote_time(ms),Gan_time,SG_time
random_forest_classifier,0.684622067767159,0.6848120652304948,0.6883652250216887,0.684622067767159,0.6883457445623554,0.3725175948469426,0.6864839061647573,0.6672458731537794,0.6671705203697019,0.6727874212038281,0.6672458731537794,0.6727735243124267,0.3401740853398494,0.670009698733103,0.6950477845351868,0.6952503884101846,0.6986311191247339,0.6950477845351868,0.6986359155314921,0.39315974088704075,0.6968418500333393,0.6924413553431799,0.6925453644503986,0.6969421635812089,0.6924413553431799,0.6969779330122787,0.38915517612621364,0.6947096441777292,0.0,0.0,0.0,8.821038879999978,14416.346736779982,12320.56600657319
random_forest_classifier,0.68375325803649,0.6839332703292932,0.6875915435866894,0.68375325803649,0.6875778930818952,0.3709075821020298,0.6856655755591927,0.687228496959166,0.6872450232312167,0.6923636650454555,0.687228496959166,0.6923708241295168,0.3795590596394817,0.6897996605443413,0.6785403996524761,0.6788288235487694,0.6811006606677633,0.6785403996524761,0.6808188777919078,0.3587140550105991,0.679679638722192,0.6811468288444831,0.6814367792137541,0.68362813562432,0.6811468288444831,0.6833376228740112,0.3638212373790021,0.6822422258592471,0.0,0.0,0.0,8.821038879999978,14416.346736779982,12320.56600657319
random_forest_classifier,0.6776715899218071,0.6779461553820335,0.6804815307628208,0.6776715899218071,0.6802662169521699,0.35732751178917066,0.6789689034369885,0.6776715899218071,0.6776715899218071,0.6828485046408407,0.6776715899218071,0.6828485046408407,0.3605200945626478,0.6802600472813238,0.6880973066898349,0.6882409320384375,0.6922580550200604,0.6880973066898349,0.692277913047087,0.3800240837060887,0.690187609868461,0.6759339704604691,0.67618355298882,0.6790894146339312,0.6759339704604691,0.6789457046319719,0.35433239355152185,0.6774398375462205,0.0,0.0,0.0,8.821038879999978,14416.346736779982,12320.56600657319
random_forest_classifier,0.682015638575152,0.6822677479559065,0.6850956752468551,0.682015638575152,0.6849662369173618,0.3663993245824652,0.6834909377462569,0.6907037358818419,0.6906519060318472,0.6963352602254548,0.6907037358818419,0.6963029926142483,0.38713699289902004,0.6935033642480452,0.6828844483058211,0.6831425817925363,0.6858774216865867,0.6828844483058211,0.6857340883978221,0.36801782189071414,0.6843092683518216,0.6759339704604691,0.6761292020137039,0.6796449352749124,0.6759339704604691,0.6795912765541395,0.3550960848284621,0.6777626235073043,0.0,0.0,0.0,8.821038879999978,14416.346736779982,12320.56600657319
random_forest_classifier,0.68375325803649,0.6839332703292932,0.6875915435866894,0.68375325803649,0.6875778930818952,0.3709075821020298,0.6856655755591927,0.6863596872284969,0.6865041127183175,0.6905122586805736,0.6863596872284969,0.6905270194454438,0.37653879099650306,0.6884433533369705,0.6750651607298002,0.675290368340188,0.6784907695878876,0.6750651607298002,0.6783930437922342,0.35296751060393844,0.6767291022610171,0.68375325803649,0.684037004788519,0.686319406832441,0.68375325803649,0.6860715585968373,0.3691608035321236,0.6849124083166637,0.0,0.0,0.0,8.821038879999978,14416.346736779982,12320.56600657319
random_forest_classifier,0.6941789748045178,0.6943909349084123,0.6976622963377124,0.6941789748045178,0.6976528734103091,0.39128788148163063,0.6959159241074134,0.6863596872284969,0.6865486378738529,0.690109282971044,0.6863596872284969,0.6900966381639986,0.37600189685063873,0.6882281626962478,0.6976542137271937,0.6979406367678446,0.6997474797595015,0.6976542137271937,0.6994331354878149,0.396334890270844,0.6985436746075044,0.684622067767159,0.6849007364583418,0.6872727757915933,0.684622067767159,0.6870546007180202,0.37101941479940437,0.6858383342425896,0.0,0.0,0.0,8.821038879999978,14416.346736779982,12320.56600657319
random_forest_classifier,0.6776715899218071,0.6779339666987151,0.6806541460267116,0.6776715899218071,0.6804814075928926,0.35756933774320265,0.6790764987573499,0.6898349261511729,0.6897267588429197,0.6958243017893523,0.6898349261511729,0.6957503317745105,0.38585550052911777,0.6927926289628418,0.6811468288444831,0.681443066554494,0.6834676870439107,0.6811468288444831,0.6831224322332887,0.3635921647333736,0.6821346305388859,0.68375325803649,0.6840494765825641,0.6859969792347705,0.68375325803649,0.6856411773153921,0.36870224581777256,0.684697217675941,0.0,0.0,0.0,8.821038879999978,14416.346736779982,12320.56600657319
random_forest_classifier,0.6733275412684622,0.6736335252611102,0.6755655959741459,0.6733275412684622,0.675135815705533,0.3478103891281523,0.6742316784869976,0.6889661164205039,0.6890971304514216,0.6932353444620621,0.6889661164205039,0.6932609551682698,0.3819042665996586,0.6911135357943868,0.6768027801911382,0.6770834655402007,0.679526800073443,0.6768027801911382,0.6792831748309871,0.35546700692189515,0.6780429775110626,0.6924413553431799,0.6926851988425982,0.6955442284892683,0.6924413553431799,0.6954715985272208,0.38729717674518555,0.6939564769352004,0.0,0.0,0.0,8.821038879999978,14416.346736779982,12320.56600657319
random_forest_classifier,0.6785403996524761,0.6788288235487694,0.6811006606677633,0.6785403996524761,0.6808188777919078,0.3587140550105991,0.679679638722192,0.6898349261511729,0.6898976716078254,0.6946497598670188,0.6898349261511729,0.6946743785708979,0.38435323731767296,0.6922546523610352,0.6768027801911382,0.6770590225125608,0.6798713986256485,0.6768027801911382,0.6797135561124322,0.35595039850110505,0.6782581681517852,0.6689834926151172,0.6692759795885074,0.6716140094919647,0.6689834926151172,0.6712965583032314,0.3396783173778141,0.6701400254591744,0.0,0.0,0.0,8.821038879999978,14416.346736779982,12320.56600657319
random_forest_classifier,0.6898349261511729,0.6899262362165816,0.6944295995713734,0.6898349261511729,0.6944591879301752,0.3840671910535416,0.6921470570406741,0.6959165942658557,0.6956659140172571,0.702877756276995,0.6959165942658557,0.7026316266227906,0.39920939862632954,0.6992741104443233,0.6915725456125109,0.6918100839437831,0.6947653426191179,0.6915725456125109,0.6947037470467605,0.3856805924839597,0.6931381463296358,0.6785403996524761,0.6787631986253198,0.6819765017242193,0.6785403996524761,0.6818948309955204,0.35993485076351883,0.6802176153239985,0.0,0.0,0.0,8.821038879999978,14416.346736779982,12320.56600657319
