model_name,Normal_accuracy,Normal_f1_score,Normal_precision,Normal_recall,Normal_specificity,Normal_matthews,Normal_auc,SMOTE_accuracy,SMOTE_f1_score,SMOTE_precision,SMOTE_recall,SMOTE_specificity,SMOTE_matthews,SMOTE_auc,ADASYN_accuracy,ADASYN_f1_score,ADASYN_precision,ADASYN_recall,ADASYNC_specificity,ADASYNC_matthews,ADASYNC_auc,SG_accuracy,SG_f1_score,SG_precision,SG_recall,SG_specificity,SG_matthews,SG_auc,AG_accuracy,AG_f1_score,AG_precision,AG_recall,AG_specificity,AG_matthews,AG_auc,G_accuracy,G_f1_score,G_precision,G_recall,G_specificity,G_matthews,G_auc,Smote_hell,Ada_hell,Gan_hell,SG_hell,AG_hell,Smote_time(ms),Ada_time,Gan_time,SG_time,AG_time
random_forest_classifier,0.8441771459814106,0.7899613965707369,0.7856896622810028,0.8441771459814106,0.19581632343281088,0.10274520221996211,0.5199967347071107,0.8141060688901038,0.7922883510572882,0.7779751144321735,0.8141060688901038,0.29056914736318096,0.13329651542594861,0.5523376081266425,0.8217605248769819,0.79437657977042,0.7790290850321131,0.8217605248769819,0.27426977055676066,0.13263777259286233,0.5480151477168713,0.8477310005467469,0.7933129712767503,0.8001987284786922,0.8477310005467469,0.20087323148126054,0.1311935350379476,0.5243021160140037,0.847457627118644,0.7923136504465098,0.798621826640968,0.847457627118644,0.19787841725691788,0.12519943913736759,0.522668022187781,0.8452706396938218,0.791021142210052,0.7899028259796858,0.8452706396938218,0.19748559171818006,0.11134815798640951,0.5213781157060009,0.0,0.0,0.0,0.0,0.0,10.145780566666666,24.703404613333333,10580.338808066665,67771.77265139336,59196.25962901329
random_forest_classifier,0.8480043739748496,0.7943037096394416,0.8016711606520107,0.8480043739748496,0.20386804570560324,0.13699468341090895,0.5259362098402264,0.8141060688901038,0.7939526566823364,0.780503323386118,0.8141060688901038,0.3008791359751825,0.14361589281940607,0.5574926024326431,0.8187534171678513,0.7949342356885599,0.7804733893595968,0.8187534171678513,0.2884581906009984,0.14081292466165474,0.5536058038844249,0.8469108802624384,0.7940533620276342,0.7975525089851582,0.8469108802624384,0.20514448845223454,0.1319744837755385,0.5260276843573365,0.8477310005467469,0.7953580817500573,0.801036804214255,0.8477310005467469,0.20823750906126168,0.1409784190387653,0.5279842548040042,0.8455440131219245,0.7899210300633736,0.7895713646886723,0.8455440131219245,0.19311612836252162,0.10594071420018823,0.519330070742223,0.0,0.0,0.0,0.0,0.0,10.145780566666666,24.703404613333333,10580.338808066665,67771.77265139336,59196.25962901329
random_forest_classifier,0.8466375068343357,0.7918286838173375,0.7951125057946791,0.8466375068343357,0.1977311076798912,0.11976066980141213,0.5221843072571134,0.8187534171678513,0.7964066274358562,0.7826240485004308,0.8187534171678513,0.29729532369699974,0.14970811489839655,0.5580243704324255,0.8173865500273373,0.7898731633404189,0.773293101835021,0.8173865500273373,0.2646469863832837,0.11253242326680755,0.5410167682053105,0.8447238928376162,0.787728772863297,0.7841247743472878,0.8447238928376162,0.187077396721494,0.09069979025990202,0.5159006447795551,0.8469108802624384,0.7907185084567717,0.7953902813961293,0.8469108802624384,0.19336164432423272,0.11486042182215304,0.5201362622933356,0.8480043739748496,0.7930580459646228,0.8012746032313334,0.8480043739748496,0.19944947915760255,0.13104795265933228,0.5237269265662261,0.0,0.0,0.0,0.0,0.0,10.145780566666666,24.703404613333333,10580.338808066665,67771.77265139336,59196.25962901329
random_forest_classifier,0.8458173865500274,0.7905045182085588,0.7910902888948864,0.8458173865500274,0.19463808707086405,0.11001970691859803,0.5202277368104458,0.815199562602515,0.7912930810721319,0.7760885291830827,0.815199562602515,0.2804555715205483,0.12506271346862,0.5478275670615317,0.8209404045926736,0.7948798182161105,0.7798993892452886,0.8209404045926736,0.2800138830437349,0.13687448597894122,0.5504771438182042,0.8452706396938218,0.791021142210052,0.7899028259796858,0.8452706396938218,0.19748559171818006,0.11134815798640951,0.5213781157060009,0.846364133406233,0.7912474099879612,0.7936688284914143,0.846364133406233,0.1962091489715487,0.11577914261143303,0.5212866411888908,0.8469108802624384,0.7932364657908642,0.7970457301533368,0.8469108802624384,0.2021987774202341,0.12789410436144652,0.5245548288413363,0.0,0.0,0.0,0.0,0.0,10.145780566666666,24.703404613333333,10580.338808066665,67771.77265139336,59196.25962901329
random_forest_classifier,0.846364133406233,0.7899710745584031,0.792573904633919,0.846364133406233,0.19179058242354807,0.10882026393159028,0.5190773579148905,0.8162930563149262,0.7927780540056569,0.7779801631894405,0.8162930563149262,0.28507055083791794,0.1321274219769651,0.550681803576422,0.8236741388737014,0.7977550481076248,0.7835353054991344,0.8236741388737014,0.2863963370311581,0.1497297095927704,0.5550352379524298,0.8477310005467469,0.7928955995492019,0.8000316729814864,0.8477310005467469,0.19940037596526033,0.12915451152523247,0.5235656882560036,0.8480043739748496,0.793476085326168,0.8014044472809975,0.8480043739748496,0.20092233467360282,0.13305744968993805,0.5244633543242262,0.846364133406233,0.7912474099879612,0.7936688284914143,0.846364133406233,0.1962091489715487,0.11577914261143303,0.5212866411888908,0.0,0.0,0.0,0.0,0.0,10.145780566666666,24.703404613333333,10580.338808066665,67771.77265139336,59196.25962901329
random_forest_classifier,0.8458173865500274,0.792989565520673,0.7933709952173841,0.8458173865500274,0.20347522016686537,0.12337090284132103,0.5246463033584463,0.8132859486057955,0.7924534877634607,0.7785330241828862,0.8132859486057955,0.2948404043341549,0.13597247312373303,0.5540631764699753,0.8171131765992345,0.7915451667432335,0.7758911695051273,0.8171131765992345,0.274907871802943,0.12315125956469115,0.5460105242010888,0.8477310005467469,0.7911973769590243,0.7993653061342204,0.8477310005467469,0.1935089539012594,0.12067874633163644,0.5206199772240031,0.8493712411153636,0.7942923022387406,0.8080184043075993,0.8493712411153636,0.20116785063531392,0.1429551181700851,0.5252695458753387,0.8480043739748496,0.7913570656197634,0.8007841243573813,0.8480043739748496,0.19355805709360166,0.12270604186214581,0.5207812155342257,0.0,0.0,0.0,0.0,0.0,10.145780566666666,24.703404613333333,10580.338808066665,67771.77265139336,59196.25962901329
random_forest_classifier,0.8469108802624384,0.7924085011422675,0.7965192120412392,0.8469108802624384,0.19925306638823362,0.12369048922312538,0.523081973325336,0.8146528157463094,0.7919238042068691,0.777228286872742,0.8146528157463094,0.28624878719986474,0.12997759462136496,0.5504508014730871,0.8086386003280481,0.7851720692401304,0.7690564772993171,0.8086386003280481,0.2689671062923332,0.09996870992019224,0.5388028533101906,0.848824494259158,0.7943828842921161,0.8052618271278934,0.848824494259158,0.2025424997666297,0.1407614101877546,0.5256834970128937,0.8439037725533078,0.7868255981457729,0.7802841204431556,0.8439037725533078,0.18545723162846708,0.08305067774277379,0.5146805020908876,0.8458173865500274,0.7913440507853328,0.7918991620237472,0.8458173865500274,0.1975837981028645,0.11462221326493954,0.5217005923264459,0.0,0.0,0.0,0.0,0.0,10.145780566666666,24.703404613333333,10580.338808066665,67771.77265139336,59196.25962901329
random_forest_classifier,0.8433570256971022,0.7873758214390986,0.7798538377426398,0.8433570256971022,0.1883047362757831,0.08546207409180576,0.5158308809864427,0.8141060688901038,0.7927699902794038,0.7787072683843025,0.8141060688901038,0.2935148583951814,0.13627808749403916,0.5538104636426426,0.8179332968835429,0.7938809720256235,0.7791433251786458,0.8179332968835429,0.28536516999197126,0.1358813571078548,0.5516492334377572,0.843630399125205,0.7888058186292398,0.7827599218060346,0.843630399125205,0.192772406016126,0.0948022116113725,0.5182014025706655,0.848824494259158,0.7952088347624119,0.8053167436319849,0.848824494259158,0.20548821079863017,0.1444701865367842,0.527156352528894,0.844997266265719,0.7900242483007008,0.787989036305586,0.844997266265719,0.19449077749383736,0.10503702663761462,0.5197440218797781,0.0,0.0,0.0,0.0,0.0,10.145780566666666,24.703404613333333,10580.338808066665,67771.77265139336,59196.25962901329
random_forest_classifier,0.846364133406233,0.7916671029320613,0.794010469396596,0.846364133406233,0.19768200448754894,0.11801608700610954,0.522023068946891,0.8176599234554401,0.7949346422357072,0.7807758617674728,0.8176599234554401,0.29268034437963014,0.14276269993097773,0.5551701339175351,0.8214871514488792,0.7939277174342414,0.7784258191177729,0.8214871514488792,0.27274781184841823,0.13038325121690242,0.5471174816486487,0.8482777474029525,0.793639241920659,0.8026467500546898,0.8482777474029525,0.20097143786594499,0.13495796085649353,0.5246245926344488,0.8455440131219245,0.7920095406444053,0.7916919298501619,0.8455440131219245,0.20048040594252275,0.11745376311424649,0.5230122095322236,0.8460907599781301,0.7906646724348305,0.7921864417618757,0.8460907599781301,0.19468719026320627,0.11174416353144928,0.5203889751206682,0.0,0.0,0.0,0.0,0.0,10.145780566666666,24.703404613333333,10580.338808066665,67771.77265139336,59196.25962901329
random_forest_classifier,0.8455440131219245,0.7890656093736631,0.7886044056024888,0.8455440131219245,0.19017041733052117,0.10102200987096718,0.5178572152262229,0.8157463094587206,0.7945984903651737,0.7808841081493051,0.8157463094587206,0.29822804409723547,0.14432329582890344,0.556987176777978,0.8223072717331875,0.795797110813292,0.7809752505970423,0.8223072717331875,0.28025939900544605,0.1402245579013318,0.5512833353693167,0.8499179879715691,0.7954559869008927,0.8106315808038943,0.8499179879715691,0.20421176805199887,0.15066378166851363,0.527064878011784,0.844997266265719,0.7920921319516487,0.7902601660572252,0.844997266265719,0.2018550550738385,0.11652544745757977,0.5234261606697788,0.8466375068343357,0.7918286838173375,0.7951125057946791,0.8466375068343357,0.1977311076798912,0.11976066980141213,0.5221843072571134,0.0,0.0,0.0,0.0,0.0,10.145780566666666,24.703404613333333,10580.338808066665,67771.77265139336,59196.25962901329
