,Normal_accuracy,Normal_f1_score,Normal_precision,Normal_recall,SMOTE_accuracy,SMOTE_f1_score,SMOTE_precision,SMOTE_recall,ADASYN_accuracy,ADASYN_f1_score,ADASYN_precision,ADASYN_recall,SG_accuracy,SG_f1_score,SG_precision,SG_recall,AG_accuracy,AG_f1_score,AG_precision,AG_recall,G_accuracy,G_f1_score,G_precision,G_recall,Smote_hell,Ada_hell,Gan_hell,SG_hell,AG_hell,Smote_time(ms),Ada_time,Gan_time,SG_time,SG_Ganonly_time,AG_time,AG_Ganonly_time
0,0.7552083333333334,0.7497356311567343,0.7491472232200199,0.7552083333333334,0.817,0.8168459674586327,0.8180699874377406,0.817,0.8039014373716632,0.8036683479033824,0.8075244978131874,0.8039014373716632,0.81,0.8097252432512548,0.8118009623585831,0.81,0.8121149897330595,0.8115683605979377,0.8139272294365809,0.8121149897330595,0.823,0.8227573548187469,0.8247784869947834,0.823,0.19653228194156708,0.20416844963050518,0.2124003938284686,0.2107543225399876,0.2353199460000655,12.940999999999999,17.715,17532.240999999998,20013.126,20000.084000000003,20015.322,19997.508
1,0.7630208333333334,0.7567931240353731,0.7571026183366513,0.7630208333333334,0.824,0.8237716080039731,0.8256883685023161,0.824,0.7967145790554415,0.7967248646970598,0.7977031241976515,0.7967145790554415,0.82,0.8196183123489303,0.8227316002646399,0.82,0.8162217659137577,0.8156870849564528,0.8180728200720099,0.8162217659137577,0.827,0.8266489641524085,0.8296703296703297,0.827,0.19653228194156708,0.20416844963050518,0.2124003938284686,0.2107543225399876,0.2353199460000655,12.940999999999999,17.715,17532.240999999998,20013.126,20000.084000000003,20015.322,19997.508
2,0.7643229166666666,0.7585974372841937,0.7586045600718586,0.7643229166666666,0.822,0.8218175411621501,0.8233243364822312,0.822,0.8018480492813141,0.8017997973333767,0.803595405195837,0.8018480492813141,0.822,0.8217939938568987,0.8234958447862918,0.822,0.8151950718685832,0.8143478070655662,0.8185876099896959,0.8151950718685832,0.818,0.8176469645233171,0.8204818111455109,0.818,0.19653228194156708,0.20416844963050518,0.2124003938284686,0.2107543225399876,0.2353199460000655,12.940999999999999,17.715,17532.240999999998,20013.126,20000.084000000003,20015.322,19997.508
3,0.765625,0.7594657270679516,0.7598768248175182,0.765625,0.816,0.8158342508257432,0.8171417101565637,0.816,0.7926078028747433,0.7925815689620086,0.7940609858343267,0.7926078028747433,0.81,0.8097801058023075,0.8114400990178585,0.81,0.813141683778234,0.8124857431414014,0.8154989572786882,0.813141683778234,0.822,0.8217147435897436,0.8240740740740742,0.822,0.19653228194156708,0.20416844963050518,0.2124003938284686,0.2107543225399876,0.2353199460000655,12.940999999999999,17.715,17532.240999999998,20013.126,20000.084000000003,20015.322,19997.508
4,0.7578125,0.7520865456499393,0.7517643776260504,0.7578125,0.824,0.8238414573115803,0.8251706142111602,0.824,0.795687885010267,0.795669148030901,0.7970626478077698,0.795687885010267,0.819,0.8187242796293162,0.8209526760812784,0.819,0.8080082135523614,0.8072084743377259,0.8108993198110653,0.8080082135523614,0.815,0.8145904302604454,0.8178081528384807,0.815,0.19653228194156708,0.20416844963050518,0.2124003938284686,0.2107543225399876,0.2353199460000655,12.940999999999999,17.715,17532.240999999998,20013.126,20000.084000000003,20015.322,19997.508
5,0.765625,0.7597772856752644,0.7599443536943538,0.765625,0.824,0.8238414573115803,0.8251706142111602,0.824,0.7987679671457906,0.798649156060266,0.8012323107615809,0.7987679671457906,0.815,0.8147730970438788,0.8165511003919205,0.815,0.8069815195071869,0.8063039544537555,0.8092672502419378,0.8069815195071869,0.822,0.8216854531393378,0.8242881773795904,0.822,0.19653228194156708,0.20416844963050518,0.2124003938284686,0.2107543225399876,0.2353199460000655,12.940999999999999,17.715,17532.240999999998,20013.126,20000.084000000003,20015.322,19997.508
6,0.7669270833333334,0.7618643810826807,0.7615545038827861,0.7669270833333334,0.818,0.8177638219131995,0.8196571024189397,0.818,0.8018480492813141,0.801763027491389,0.8039974834055774,0.8018480492813141,0.818,0.8178572000448352,0.8190003852080123,0.818,0.811088295687885,0.8104251469121861,0.8134217215997714,0.811088295687885,0.81,0.8097801058023075,0.8114400990178585,0.81,0.19653228194156708,0.20416844963050518,0.2124003938284686,0.2107543225399876,0.2353199460000655,12.940999999999999,17.715,17532.240999999998,20013.126,20000.084000000003,20015.322,19997.508
7,0.7643229166666666,0.7594992274790869,0.7589420320529959,0.7643229166666666,0.826,0.8256925216081168,0.828316601943312,0.826,0.7997946611909651,0.7997763008343001,0.8011774672117096,0.7997946611909651,0.819,0.8186647110507329,0.8213769035788693,0.819,0.8182751540041068,0.8178645709115772,0.8195831490596787,0.8182751540041068,0.825,0.8247600965722073,0.8267894992981567,0.825,0.19653228194156708,0.20416844963050518,0.2124003938284686,0.2107543225399876,0.2353199460000655,12.940999999999999,17.715,17532.240999999998,20013.126,20000.084000000003,20015.322,19997.508
8,0.7682291666666666,0.7624464269455392,0.762708622083622,0.7682291666666666,0.828,0.8278650461962179,0.8290318438623523,0.828,0.7926078028747433,0.7925658277294321,0.7942374165032856,0.7926078028747433,0.815,0.8147983153654329,0.8163781431917432,0.815,0.8090349075975359,0.8083157515243663,0.8115744633420511,0.8090349075975359,0.82,0.8196819189049483,0.8222739650977297,0.82,0.19653228194156708,0.20416844963050518,0.2124003938284686,0.2107543225399876,0.2353199460000655,12.940999999999999,17.715,17532.240999999998,20013.126,20000.084000000003,20015.322,19997.508
9,0.7552083333333334,0.7509431969093324,0.7498429447165402,0.7552083333333334,0.819,0.8188026761142885,0.8203956434227496,0.819,0.7987679671457906,0.7987102669343908,0.8006026479969872,0.7987679671457906,0.816,0.815787049829603,0.8174679719020751,0.816,0.8141683778234087,0.8136277227771953,0.8160000247542954,0.8141683778234087,0.822,0.8216547235447826,0.8245130288957688,0.822,0.19653228194156708,0.20416844963050518,0.2124003938284686,0.2107543225399876,0.2353199460000655,12.940999999999999,17.715,17532.240999999998,20013.126,20000.084000000003,20015.322,19997.508
