,Normal_accuracy,Normal_f1_score,Normal_precision,Normal_recall,SMOTE_accuracy,SMOTE_f1_score,SMOTE_precision,SMOTE_recall,SG_accuracy,SG_f1_score,SG_precision,SG_recall,G_accuracy,G_f1_score,G_precision,G_recall,Smote_hell,Gan_hell,SG_hell,Smote_time(ms),Gan_time,SG_time
0,0.6907037358818419,0.690988278352684,0.6931121394834331,0.6907037358818419,0.7160392798690671,0.7147232061464146,0.7201008645533141,0.7160392798690671,0.6955810147299509,0.6951105983983689,0.6967955646237235,0.6955810147299509,0.7086743044189853,0.7080165378006873,0.7105717691515501,0.7086743044189853,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
1,0.6863596872284969,0.6866368205549901,0.6890126387137743,0.6863596872284969,0.7176759410801964,0.7166648184924947,0.7208281701776126,0.7176759410801964,0.704582651391162,0.7039829989283742,0.7062539157862899,0.704582651391162,0.7152209492635024,0.7145327465422197,0.717316571144187,0.7152209492635024,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
2,0.6889661164205039,0.6892254146669908,0.6918822836667078,0.6889661164205039,0.704582651391162,0.703524636161712,0.7075452727233201,0.704582651391162,0.7086743044189853,0.7081043071241465,0.7103170853525196,0.7086743044189853,0.7144026186579379,0.7138643720961437,0.716028090858056,0.7144026186579379,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
3,0.6880973066898349,0.6883629913265499,0.6909242685051292,0.6880973066898349,0.7135842880523732,0.7118794326241135,0.7187620889748548,0.7135842880523732,0.6947626841243862,0.6942300945271396,0.6961291540785499,0.6947626841243862,0.7062193126022913,0.7056229823138125,0.7079039471125802,0.7062193126022913,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
4,0.6924413553431799,0.692729436017109,0.6946897986186247,0.6924413553431799,0.707037643207856,0.7057766443111904,0.7106488862725219,0.707037643207856,0.6955810147299509,0.6949403683392521,0.6972378675527101,0.6955810147299509,0.6939443535188216,0.6933891505320078,0.6953593602020415,0.6939443535188216,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
5,0.682015638575152,0.6823168766006642,0.6841044188237816,0.682015638575152,0.7193126022913257,0.7178157797117607,0.7240667761357417,0.7193126022913257,0.704582651391162,0.7040258977842634,0.7061336744828778,0.704582651391162,0.7021276595744681,0.701256205807131,0.7045139782906238,0.7021276595744681,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
6,0.685490877497828,0.6857530729314265,0.6884007460545718,0.685490877497828,0.720949263502455,0.7193931594750986,0.7259615384615384,0.720949263502455,0.704582651391162,0.7043401098750116,0.7052561704506364,0.704582651391162,0.6963993453355155,0.6956409363014522,0.6983766233766233,0.6963993453355155,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
7,0.6880973066898349,0.6883870869020801,0.6904228976028359,0.6880973066898349,0.7144026186579379,0.7132039893937162,0.7180478369837637,0.7144026186579379,0.693126022913257,0.6926318161787344,0.6943761457996334,0.693126022913257,0.7086743044189853,0.7079702809454891,0.7107061811474057,0.7086743044189853,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
8,0.6880973066898349,0.6883870869020801,0.6904228976028359,0.6880973066898349,0.7021276595744681,0.7007803250457432,0.7058350177442806,0.7021276595744681,0.7086743044189853,0.7080612127117575,0.7104420762591678,0.7086743044189853,0.704582651391162,0.7040671960436927,0.7060180189900733,0.704582651391162,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
9,0.6907037358818419,0.6909723487427726,0.6934480347263583,0.6907037358818418,0.70949263502455,0.7080802310002496,0.713627026790787,0.70949263502455,0.6972176759410802,0.6967497887295604,0.6984423894322901,0.6972176759410802,0.7037643207855974,0.7030954682130583,0.7056171392891606,0.7037643207855974,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
10,0.6915725456125109,0.6918450728449348,0.6942322274803171,0.6915725456125109,0.7225859247135843,0.7212371783354498,0.7269787159652114,0.7225859247135843,0.7004909983633388,0.6999049899085327,0.7020693565151659,0.7004909983633388,0.7078559738134206,0.707262965699251,0.7095539784388706,0.7078559738134206,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
11,0.6880973066898349,0.6883913551294522,0.6902650340300863,0.6880973066898349,0.7103109656301145,0.7090640561065961,0.713979303446791,0.7103109656301145,0.6947626841243862,0.6942300945271396,0.6961291540785499,0.6947626841243862,0.7111292962356792,0.7106252637213949,0.7126105955977557,0.7111292962356792,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
