,Normal_accuracy,Normal_f1_score,Normal_precision,Normal_recall,SMOTE_accuracy,SMOTE_f1_score,SMOTE_precision,SMOTE_recall,ADASYN_accuracy,ADASYN_f1_score,ADASYN_precision,ADASYN_recall,SG_accuracy,SG_f1_score,SG_precision,SG_recall,AG_accuracy,AG_f1_score,AG_precision,AG_recall,G_accuracy,G_f1_score,G_precision,G_recall,Smote_hell,Ada_hell,Gan_hell,SG_hell,AG_hell,Smote_time(ms),Ada_time,Gan_time,SG_time,SG_Ganonly_time,AG_time,AG_Ganonly_time
0,0.8489361702127659,0.7854493109672076,0.7749631722022263,0.8489361702127659,0.90625,0.9061430911147229,0.9081094486755279,0.90625,0.9034749034749034,0.9031178373869695,0.906916051101002,0.9034749034749034,0.90875,0.9081054458538089,0.9205490286860737,0.90875,0.9034749034749034,0.9024977073812842,0.9154720455266148,0.9034749034749034,0.91125,0.9106231048715128,0.9231211939991383,0.91125,0.4289351669608919,0.4203560330393794,0.4449557260715272,0.4369623149759505,0.40336241357434754,16.958000000000002,14.520999999999999,15031.273000000001,17516.688,17499.617000000002,17130.514000000003,17115.869
1,0.8468085106382979,0.780468673399353,0.7237679578105111,0.8468085106382979,0.92,0.9199154106525017,0.9217820290728327,0.92,0.9073359073359073,0.9069465624087473,0.9114437571410865,0.9073359073359073,0.9075,0.9068268238019692,0.9196272268561425,0.9075,0.9073359073359073,0.9063729258406209,0.9198594732575315,0.9073359073359073,0.9125,0.9118632117045655,0.9247760271856658,0.9125,0.4289351669608919,0.4203560330393794,0.4449557260715272,0.4369623149759505,0.40336241357434754,16.958000000000002,14.520999999999999,15031.273000000001,17516.688,17499.617000000002,17130.514000000003,17115.869
2,0.8468085106382979,0.784330937984321,0.7622819833805131,0.8468085106382979,0.9175,0.9173988135465946,0.9195558235353231,0.9175,0.9137709137709138,0.9134519347323594,0.9173364131972288,0.9137709137709138,0.90875,0.9080660979568319,0.9212858882110811,0.90875,0.9009009009009009,0.9000005332893166,0.9113518396579573,0.9009009009009009,0.90875,0.9081436042625143,0.9198363023591719,0.90875,0.4289351669608919,0.4203560330393794,0.4449557260715272,0.4369623149759505,0.40336241357434754,16.958000000000002,14.520999999999999,15031.273000000001,17516.688,17499.617000000002,17130.514000000003,17115.869
3,0.8425531914893617,0.7783401307061077,0.7232216235960186,0.8425531914893617,0.91,0.909889614778103,0.9120188925736108,0.91,0.9111969111969112,0.9108389661428993,0.915143497148053,0.9111969111969112,0.90875,0.9080660979568319,0.9212858882110811,0.90875,0.9009009009009009,0.8999497916500862,0.9120652910975493,0.9009009009009009,0.9075,0.9069041867954911,0.9182060755336618,0.9075,0.4289351669608919,0.4203560330393794,0.4449557260715272,0.4369623149759505,0.40336241357434754,16.958000000000002,14.520999999999999,15031.273000000001,17516.688,17499.617000000002,17130.514000000003,17115.869
4,0.8425531914893617,0.7783401307061077,0.7232216235960186,0.8425531914893617,0.91375,0.9136656891495601,0.9153725490196077,0.91375,0.9086229086229086,0.9082230415579314,0.9129678147535291,0.9086229086229086,0.91125,0.9105848349991106,0.9238625603102314,0.91125,0.9034749034749034,0.9025484983604736,0.9147275155339671,0.9034749034749034,0.90875,0.9081054458538089,0.9205490286860737,0.90875,0.4289351669608919,0.4203560330393794,0.4449557260715272,0.4369623149759505,0.40336241357434754,16.958000000000002,14.520999999999999,15031.273000000001,17516.688,17499.617000000002,17130.514000000003,17115.869
5,0.8468085106382979,0.780468673399353,0.7237679578105111,0.8468085106382979,0.9075,0.9074021935669551,0.9092289924932841,0.9075,0.9073359073359073,0.9070907234389896,0.9095786069179274,0.9073359073359073,0.91,0.9093450177532674,0.9222016270209042,0.91,0.9060489060489061,0.9050977685177832,0.9181395617190327,0.9060489060489061,0.91,0.9093450177532674,0.9222016270209042,0.91,0.4289351669608919,0.4203560330393794,0.4449557260715272,0.4369623149759505,0.40336241357434754,16.958000000000002,14.520999999999999,15031.273000000001,17516.688,17499.617000000002,17130.514000000003,17115.869
6,0.8489361702127659,0.7854493109672076,0.7749631722022263,0.8489361702127659,0.91875,0.9186827862405019,0.920139084849283,0.91875,0.9086229086229086,0.9082848860596646,0.9121262321491155,0.9086229086229086,0.91,0.9093056211620216,0.9229529335912315,0.91,0.9047619047619048,0.9037721737806381,0.9171892472863348,0.9047619047619048,0.90875,0.9081436042625143,0.9198363023591719,0.90875,0.4289351669608919,0.4203560330393794,0.4449557260715272,0.4369623149759505,0.40336241357434754,16.958000000000002,14.520999999999999,15031.273000000001,17516.688,17499.617000000002,17130.514000000003,17115.869
7,0.851063829787234,0.7865667658049265,0.8000545553737043,0.851063829787234,0.90625,0.9061853558467632,0.907372821338815,0.90625,0.9047619047619048,0.904454531612805,0.9076549645533,0.9047619047619048,0.9075,0.9068268238019692,0.9196272268561425,0.9075,0.9073359073359073,0.9063729258406209,0.9198594732575315,0.9073359073359073,0.91125,0.9106231048715128,0.9231211939991383,0.91125,0.4289351669608919,0.4203560330393794,0.4449557260715272,0.4369623149759505,0.40336241357434754,16.958000000000002,14.520999999999999,15031.273000000001,17516.688,17499.617000000002,17130.514000000003,17115.869
8,0.8446808510638298,0.7794056295860021,0.7234953756435373,0.8446808510638298,0.9075,0.9073865485219395,0.9095065822530399,0.9075,0.9047619047619048,0.9042933747826611,0.9097359908170719,0.9047619047619048,0.9075,0.9068661074437893,0.9189046799105651,0.9075,0.9073359073359073,0.9063221894437864,0.9206518083086106,0.9073359073359073,0.91125,0.9106231048715128,0.9231211939991383,0.91125,0.4289351669608919,0.4203560330393794,0.4449557260715272,0.4369623149759505,0.40336241357434754,16.958000000000002,14.520999999999999,15031.273000000001,17516.688,17499.617000000002,17130.514000000003,17115.869
9,0.8489361702127659,0.7854493109672076,0.7749631722022263,0.8489361702127659,0.915,0.9149234310879791,0.9164993978321959,0.915,0.9021879021879022,0.9018417904211776,0.9054213851491154,0.9021879021879022,0.9075,0.9068661074437893,0.9189046799105651,0.9075,0.9073359073359073,0.9063729258406209,0.9198594732575315,0.9073359073359073,0.91,0.9093450177532674,0.9222016270209042,0.91,0.4289351669608919,0.4203560330393794,0.4449557260715272,0.4369623149759505,0.40336241357434754,16.958000000000002,14.520999999999999,15031.273000000001,17516.688,17499.617000000002,17130.514000000003,17115.869
